NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Blood neutrophil	V neutrophil
LITAF	1204.198916	1573.513325	1672.229292	5287.4290815	4075.05743	2993.796909	1443.802484	918.651522800001	6777.21464	3199.9208625	5327.7772365	2471.656691	2067.1646305	5464.342217	10531.49059	3026.452473	6432.03473	8173.3529995	4741.956	4202.8365265	17603.4902	2418	2789
LMAN1	59.27607145	66.108173545	660.6303205	180.7975354	157.4641251	193.4952985	436.9081246	25.13633497	45.61767977	177.9691195	162.3548009	213.1921376	23.63600276	150.2149079	72.39860039	191.4432784	73.78735546	30.903009715	113.450024225	161.96115275	16.363263375	6	4
LMF1	64.82939319	131.37646755	737.8343112	205.92424075	132.8807131	186.0254328	88.10954516	142.2008747	170.0697468	185.495354445	123.90699945	109.6327463	90.59083757	86.082044395	96.49609914	197.6931121	79.408350555	28.78168966	47.407463705	87.32952014	41.185540265	39	15.61325781
LMNB2	62.58630946	74.599686395	123.9605038	301.705569	332.678517	213.1935302	992.6463744	329.6313797	53.243701975	163.446509065	272.08642105	487.3854131	106.97209527	145.54202685	569.1994963	136.0016423	156.4923139	709.9969236	306.29527385	248.46212795	142.0889192	10.963652498	3
LMO2	772.4322813	506.1091336	149.6658809	195.6129095	40.00039619	143.4578889	90.86585181	47.88691828	805.5194299	259.56311845	587.22529175	316.7424995	5673.311335	1237.9802715	180.2814388	2678.307497	2466.8416145	195.56040035	1506.014323	1111.8392467	1688.83456	28	4
LMO7	274.2254438	237.07953225	92.51535269	47.54212473	49.2835342	79.93261863	29.09931268	58.16663743	196.97392605	92.19593948	35.04760377	34.98336796	28.974868855	25.050892005	31.61826643	17.32127067	37.45356813	29.254539805	32.313238515	26.33125588	13.09546919	62	16
LMTK2	394.913604	222.6389407	327.169302	66.602189435	11.21957174	127.9166742	105.9165471	45.91228529	31.06271977	160.09635702	95.62002112	81.60140793	78.531025605	53.46057602	47.1197859	33.83992888	74.239945395	22.457805815	6.619811279	5.423096275	77.228330185	177.2838289	120
LOC282997	437.7230134	183.8520886	197.4256087	478.5169022	693.9152927	437.8713902	114.3238056	102.3660577	159.7070399	171.33170577	175.3386632	98.3497733	72.33663765	29.07669435	47.70960525	104.527955	49.465959325	63.68598111	138.64078845	102.01031266	966.93541795	718.3099764	386
LOC654342	99.70018134	127.38246645	299.2466736	18.95281564	17.09583022	29.08594746	22.07136015	24.24683754	203.02361095	141.4705618	55.58817059	28.56953959	29.333445045	71.204422455	109.4851766	139.2651284	66.741643595	72.992678295	17.7922614	72.22007308	37.28267288	7	9.322415467
LPAR6	434.0289945	455.8246868	195.5345585	675.0529225	1492.839379	2634.759532	297.0576439	1088.937578	1192.01611745	1463.4908082	1078.902557	1557.068792	3055.802267	768.3475292	428.3431836	4429.912588	3789.8928715	977.944251	426.1286377	69.72213373	89.256882095	476.3752348	150
LPCAT4	55.97346988	83.097933505	339.123717	310.3503044	376.1727055	510.1721691	236.6222452	504.5870362	131.05718672	790.9861709	274.34382825	194.9078626	50.46300042	234.4249271	14.89016024	100.17583652	163.15317025	27.361989275	190.85560445	180.4686062	69.90916325	136	42
LPHN2	340.6015886	270.59485055	67.93996059	10.3137412555	65.89479305	64.40005197	43.60355518	31.78927411	41.81173464	16.061877795	37.0351245	41.87852965	31.663822945	12.638869795	27.72080378	9.590587255	21.32916927	15.310031215	36.573678615	21.555683105	70.1054374	1	1
LPHN3	340.9221334	234.9630772	126.8498616	15.31981809	11.79951034	37.96975047	19.22231022	11.2031158	72.05329545	136.45208666	24.740901985	17.29341061	20.41544239	42.19987411	13.1418477	12.14716974	17.224933285	25.056245065	14.591380055	13.928949239	21.06810577	1	1
LPL	177.4130663	165.2303069	88.78622751	58.61527792	47.41362131	71.5759648	66.95186866	65.67842792	158.80544005	106.96372242	63.75110744	70.13869108	162.7048629	2422.7849645	153.921146	605.3534526	759.75374585	184.17926285	47.22262954	250.70049755	129.7728426	5	32
LPO	370.9332537	189.62249225	57.70582086	25.70295697	141.1170099	44.5253335	20.8167099	64.96645596	141.6891873	215.26795185	25.46246598	22.7099144	28.484197215	22.549443205	27.8361114	55.18048293	29.70923781	25.115079745	57.93504922	63.846782285	69.90671316	1	1
LPPR2	88.09791895	77.023094155	83.12767262	79.04954848	99.89424736	40.14412411	35.36503733	187.5810092	124.01348935	241.3672841	57.599863535	84.09019929	564.66824595	203.46534675	104.2926017	244.4248313	141.07500545	80.77586817	45.9010889	56.69412827	124.27468105	811.999999999999	824
LPPR4	535.7662583	401.0975026	144.0097511	71.54624593	66.66386344	100.49357952	49.7735134	43.99409335	173.29163545	143.4958991	50.10869511	51.85021969	62.155718645	51.59163287	38.01032757	30.22325592	68.071812225	44.59950799	43.878651765	30.24248882	84.51164362	1	1
LRFN4	32.33670786	26.11429243	20.77163081	17.086665215	12.68357957	17.89257779	125.0565174	12.59613055	40.633665925	102.279415335	12.9356343	12.09739157	20.031573685	244.8779613	25.44907583	257.1670304	238.51814175	224.7027961	69.168029255	104.383164415	19.981723775	7	2
LRIG1	244.3642512	101.05420532	149.6242735	415.7123393	811.561467900001	1357.45633	682.6073014	840.610883000001	1141.66053	1158.38102855	291.4760035	257.4654189	94.90398416	79.558682845	9.797311173	43.29489126	227.2376944	297.1951387	129.503609255	435.3968104	363.26073205	86	44
LRP1	318.5419371	266.7899399	182.0099804	58.377534405	31.22361323	80.72508595	54.37183339	31.47172707	92.191401025	117.523688975	39.966446975	35.90792753	814.01226355	614.82342365	146.9642379	1436.852871	268.8576014	49.322122345	31.899577345	72.45103895	39.57055037	46.79969159	61
LRP12	41.47238639	26.649917815	8.231411603	4.9840447575	10.923864328	12.11231678	56.17316336	42.59496596	51.256484475	21.576732045	43.247662785	121.2961444	10.0778301615	365.9998514	347.5359879	223.9086038	335.22715135	383.6987336	193.32859725	199.41895285	46.293007615	4.872512717	1
LRP1B	91.73220867	110.73919695	21.6407314	5.0038539045	7.848654023	35.11346231	6.666834715	4.702740571	13.870744323	7.956058216	9.33861107	9.453281849	24.354650025	11.4333327335	20.59045171	2.724837347	18.989073805	16.18960579	4.716531089	6.1391767705	72.265294275	1	1
LRP2BP	277.2638258	261.90943895	324.2913756	48.92326667	98.37777364	67.21112084	12.29984869	50.58800748	35.107790545	39.835196265	31.55028566	35.01142339	39.46050128	37.594275715	33.82969631	19.31810241	33.897724495	16.298635505	55.63616281	63.16948559	48.829253125	3	1
LRP5L	331.4178684	268.51803315	287.2173081	141.54683125	237.1850143	248.6380172	109.3777517	183.1981303	142.85163784	63.46988091	207.89633935	110.2686462	220.8847092	141.9712007	137.8577175	435.9829062	246.69536505	158.04768915	246.1376958	186.4123951	934.20446525	30	21.00983489
LRRC1	261.6890612	189.6114247	45.87072587	18.024966705	75.28007442	97.61000274	43.94344071	507.0175215	203.374439425	260.7464821	66.007198685	46.91516993	15.403741535	17.82123472	295.4317435	10.315679654	27.013451365	226.21670635	212.97494425	289.320945	15.346361265	4	1
LRRC16A	454.4998103	286.4031678	852.3919555	252.38018365	357.1239568	235.6299182	49.88252911	225.0334063	85.26350856	254.147962055	88.99940253	58.99925141	194.40282905	234.71500935	41.03481627	66.93263165	129.3236633	68.11342783	425.90025465	278.52625185	85.44530662	10	26.88672678
LRRC2	109.1666794	76.98296799	76.95346958	8.0010214385	7.71578107	22.11108398	3.043940782	119.3113698	54.415035115	54.9548937675	7.587569237	9.30009714	15.44811319	15.899926035	6.458152042	12.52889916	21.49193054	24.752162475	34.6785600085	19.739902043	40.03160201	1	1
LRRC31	425.6591986	322.65629915	33.6513208	51.327841595	29.89178973	18.66539219	34.08274481	11.37548414	57.56847215	57.775045295	46.21332556	56.56616141	49.42940146	22.797194295	32.58333864	9.03780128	45.789915455	18.52581712	7.405512426	13.3407408545	42.697275865	1	1
LRRC32	121.7572743	75.692135985	65.71761563	35.0928278	20.96094087	14.74640997	103.8333941	27.84614461	42.748646795	3238.5374575	32.957681355	25.51297045	44.854591065	50.670646555	34.60821512	39.82950685	51.735147795	288.42136775	9.467506004	27.368146975	24.40289942	1	1
LRRK1	151.0193077	179.19182415	290.1981338	17.01859954	49.70966746	17.23699164	23.60217512	52.70962431	23.76163359	122.40060762	100.094817335	36.02585001	127.70470645	133.454367	80.91766931	300.7495489	167.9022186	561.5077265	75.90657621	91.24801242	572.5737564	76	59.93254403
LRRN3	350.7849964	338.77776465	180.3913993	1831.7362275	2643.705517	435.9433625	551.6810929	104.9949647	305.1374426	1149.2643265	67.364184445	63.6454761	80.25651027	42.180396875	42.51510423	53.90180576	82.95117833	92.871686795	55.703506975	76.36767814	149.4385419	3	1
LSP1	559.0403445	769.56839155	680.3377364	1163.0626025	1271.329443	1176.531069	943.358176500001	1027.159186	552.213906059999	2794.1128485	940.25200115	825.1894386	2907.9922935	2732.965969	1587.253011	1162.045321	3848.855097	6672.055495	113.052565435	53.316648705	512.54372945	4754	9730
LSR	35.34643788	24.64245173	276.9501576	515.804768	232.9852243	401.4594322	223.3410735	267.633029	41.16865175	133.37273328	14.87944806	11.38081833	10.2583260625	18.504219655	14.13976693	10.29337742	15.53796743	15.422599345	30.26993534	15.334725275	9.8063703005	2	1
LST1	71.69473911	49.694346555	72.21966275	551.2072333	265.0243541	376.7533916	139.8601644	36.55438772	1325.757998615	121.71900092	705.34572065	315.9166197	6399.55594599999	2392.824834	2586.55828	2442.7389	3763.825419	908.05016955	1326.7226653	1795.508063	4764.480408	1652	666
LTA	27.92508254	27.278801355	21.76555167	23.54545395	259.3098605	37.9671126	2775.162362	570.0229279	32.10964551	202.70799475	28.07923118	2873.692666	11.646761095	11.61195777	92.54640758	9.448838178	15.539621265	14.387191045	9.2258082135	12.1352303345	27.2701445135	10	3
LTA4H	3939.968639	3104.037858	2591.540069	2784.277084	3889.346518	2136.233344	2557.267766	1947.740096	3537.3820395	2863.642494	2722.716206	1599.262069	13296.40737	10873.000555	343.9233216	3542.604655	1434.6724245	756.581709	3448.64991	2575.45554	671.79731445	949.999999999999	402
LTB	7084.290071	10888.961345	165.7220465	9607.5761995	20689.29361	13722.16509	4890.890824	10145.35717	3133.5492415	24400.56895	1047.498321	12675.6151	310.19963185	120.654827	94.31176253	133.5232924	176.4777235	105.807184205	188.45076265	367.84659795	2308.942388	1643	1282
LTB4R	65.20735199	71.817781845	61.4806017	166.3990386	242.1823508	191.8184777	104.7932771	203.1457102	230.2955299	195.1257904	311.5557067	166.651835	503.4995548	97.557746245	39.55440048	108.8153198	154.2543877	50.13334395	78.25616377	113.6137985	283.26552155	3	1
LTBP3	122.8602586	201.32996245	181.3710188	778.51921	2144.896917	757.0052098	181.0025393	2004.851704	227.611818345	221.00252725	542.3117179	446.6133461	33.80280755	91.214851865	45.11439406	197.5065343	100.41408596	52.74246242	55.648260215	101.22112943	12.5197057605	41	16.68821747
LTBP4	83.02082404	105.0973608	43.39916926	139.636252	39.61793939	244.9053062	197.8200372	79.84073527	127.366705215	310.016539855	51.29302465	60.26463554	34.281325165	26.18133499	32.35262302	57.79492121	28.71929599	38.38797601	18.8468094	34.974414065	22.890913015	22	69.197865
LTBR	322.8435582	173.4166506	215.9485326	83.87627082	17.67741871	118.2683516	58.06348936	26.51685151	70.466790455	34.57708502	94.7429479	96.91612046	782.64034415	503.05384875	1140.383994	1035.533328	416.3173148	370.2780361	114.638907785	142.5237355	27.18349072	636.1625408	277
LTC4S	129.2732407	51.39085782	91.30960862	133.58515955	72.31707696	87.06781994	44.22818709	103.050475	154.72236142	30.25897881	178.98309675	88.51156727	88.547713095	100.374394965	118.510997	602.9513575	219.92839805	60.114902375	1233.561932	1082.6058165	550.03751225	74.64173961	19
LTF	58.62630588	48.04064092	35.52227001	18.380086285	10.66996305	12.37621963	13.75735612	21.61109736	37.034762655	23.617723975	3510.8312725	476.1396361	12.34783769	14.222150425	11.30366507	9.636504309	12.129106175	14.755485745	1197.82202705	933.82660215	554.0363925	65.77572437	94.52363618
LUM	5.568430265	36.829329475	6.135596872	2.7849487555	3.468489635	4.085439409	2.732729737	2.920232045	43.18523713	3.9642362015	4.153606959	2.239453285	2.8717847725	2.710748097	4.280966292	1.728146564	3.2151320855	83.16347706	141.84577365	137.0700897	8.548875208	2	76.37484086
LUZP2	647.674050499999	346.5691675	256.1499951	99.147655355	95.83387046	143.2418341	98.42769219	54.53425111	216.719115855	247.02711915	53.83084986	95.89392158	81.16583238	74.08805443	45.11239402	25.07435496	56.905903685	81.754500785	30.323412905	47.415244825	122.74270009	2	1
