NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Blood.neut	V.neut	Exercise.neut	Endotoxin.neut	Active.TB.neut
SH3YL1	477.1075864007591	893.5460066004748	291.10570608253306	3623.379752621976	4439.591059922537	4278.946772265615	480.84418038129826	1128.6292147919546	908.3786112312049	564.6537033951735	1048.1146263503263	388.5170159490198	152.50121483923164	278.1889481270175	96.00200300451198	564.1622922279668	324.6592174795253	111.95249517759603	855.3381900205142	468.9552804526928	230.20306299285957	142.20791651220543	115.18625480499736	231.98832057495372	87.80173626727162	115.18625480499736
SHCBP1	41.760445888683385	50.07576137034506	76.7462437344817	27.555333520764613	5.513969087422435	23.206115472200324	949.4036700170991	84.35891680685943	58.603468300816346	12.70942907107932	28.301100044983464	254.4445725440062	25.576780937014625	39.03683083567994	23.635947240367337	139.02956940808613	109.02399841181071	40.543084070047456	46.327411937735796	73.43227758939393	19.46113562784459	41.15454036503337	41.777293523237745	39.39697320831123	105.0439983079493	59.57786717507682
SIGLEC1	137.989081415431	74.92392323044369	46.96520003565842	40.138708205025054	28.308073405297037	44.38182930006471	24.238755987856702	28.082313345100076	93.56725715935995	65.1090451064766	48.269215663570996	43.15728228399122	150.32473188268077	55.48335436581741	5143.55785074078	2813.256269672524	271.26146095551724	2232.6977492237465	94.86560811160021	73.56694365759142	61.41021776600648	21.498064563897753	41.846328650106095	41.63145435596478	49.47651953184575	46.33420925381582
SIL1	14.773875264075906	17.089457257410388	1543.9783822783493	41.45005000533257	20.041877989253795	13.478943687627556	54.01181831098353	124.02653719894616	15.685683921363271	10.988939100546004	37.516652582412334	61.67463563460894	114.51366142043011	412.3732651802535	191.69572496909123	342.2748467699443	147.8613191034803	170.74633522973028	588.4626932393173	806.2894519099601	38.63770321623379	93.4469859913325	130.65116298186993	66.95159794045531	10.158840187104982	87.54351207384323
SIRPG	35.80197956723526	61.853359087544405	27.889340728156668	1025.1678673307129	834.0822885309215	878.9978394640455	161.79284374865642	2628.1728892005103	503.35617820547	1890.4854374129814	48.22622464213414	29.12713046928781	27.87511800685263	17.7689435704863	38.777709732746224	21.155182926696142	17.008773292364754	40.59697929755171	9.563272615300555	15.000146967306643	39.54690928969013	58.30196963290939	44.7436373352647	93.46484823270697	31.07515367877403	211.37750526552767
SIT1	545.0393086575219	1203.2875594702402	258.7008015149928	1152.2282954947696	1121.9826435359207	1281.7948620901018	679.8758694025588	1356.6189290747345	1027.6302480520965	3601.681819066666	57.065495485235566	51.85728758057095	48.06974093604201	58.33370758779972	29.88163943759195	51.53237824905171	247.83903992573846	37.58510653188799	37.73089338540776	25.824216842674545	38.84297318084388	207.94590290532247	82.97758106939831	164.54854967842903	31.15512698405682	253.2768894524518
SKAP1	1087.2116887139298	366.7283439870274	649.3898953400196	1871.679835068322	2280.083015382929	1990.9363889005747	578.4023591789613	2002.8590707924525	2413.0899101384907	5150.317675155857	1674.7054046348737	1200.6473546830734	76.36374802860148	94.21031453958153	55.13540175554605	47.95308169302314	83.34703596576111	74.77439901578838	315.8387940201376	299.2265452313182	280.1851934649512	108.4580941321185	25.809983835978013	230.95807487628792	52.11339098699817	266.50605363972704
SKIL	28.37923961298976	24.800280164651817	18.94449967245237	15.682690139024633	26.621171266920943	16.054032099947243	22.477837104439086	28.43709654556947	21.61749273810841	39.13209014869736	23.775490717099053	35.280394619222406	23.040140254303388	37.35912400156755	27.174386195704486	23.433809370459823	34.260112052458126	69.82752349430085	32.5347290094557	50.140914834186106	815.4932087778266	312.4281086294967	1365.7117191405928	408.4512304828592	509.2398035965068	52.20694077892787
SLAMF7	22.05296425377271	19.878048927262242	6346.005052675633	343.59190528510345	24.615718749575368	31.325170501094348	46.64910571513255	22.871403254474373	139.93810860682814	13.435590242989356	1633.7415753648377	3237.3588701033827	131.11028244333073	594.4459236685423	10371.975924538869	72.0162815426489	308.4529851510851	9160.859593135105	23.28276466575594	65.02867944000604	40.62204529590642	266.2363566676191	163.90087096699133	432.7043354265405	142.63223808747998	396.7729672856379
SLAMF8	76.98873882442876	65.7366987275681	38.27191099138797	53.127552561467674	35.72006498760297	49.36725299193339	41.45385736624298	25.23636769347834	114.55664570079557	20.245073598871915	85.53967647514476	46.012889742632076	82.62401267040192	2036.9855644758886	450.4731079112372	1083.274914742799	2339.3430369584094	203.52136953173664	126.34222302520539	232.01310254138338	56.17458844329594	75.68660321297014	37.873252787591845	30.9740547115608	56.95148714779694	45.60735003541878
SLC12A8	6.2027124697527585	6.87401748485785	26.375336227849377	10.03007079219011	8.407193874270225	4.0701883902004345	7.36694943938022	19.514366087030332	6.342986657980127	25.030321046261797	7.863290505531453	11.868231011078448	8.796368567855737	282.7107209390133	14.661283332640638	15.183137580162123	20.5768018692762	26.468922642707106	278.5562387028664	382.8876873655645	51.781434366679974	27.47015207806783	63.82773907297955	15.857946707768988	44.91213061496719	69.62741246291503
SLC15A3	7.197160317393694	104.95643816380107	7.815565244619879	12.051739812364524	15.876217752308591	12.397569714700834	9.353066221944498	12.114496794151227	37.63439678543252	7.586715099603071	8.682034823246681	6.882654624003109	1322.4199958715453	3812.7911358755355	3166.1929651556993	4835.572570515488	3032.6599565186207	3841.1501890607433	181.40749693615578	267.7905194779657	12.685191166614253	1006.9472987681535	913.1826856751873	655.3438811675119	1014.1499058594768	551.5531869645707
SLC1A3	15.845760876850715	38.44159750335975	11.913017629969353	9.132282884416536	30.467501454140233	12.524746142750034	20.394219333769602	18.531611174809473	19.575152652305757	42.10090712480182	30.64554595706685	14.773875264075906	71.27490615697863	1923.8873826254237	2320.7364935618934	230.2420196215334	254.00432291793572	312.38540379378037	24.996668227731444	50.417835027644294	33.46470478646775	38.474656993169795	28.497637325892057	27.91738428580031	40.16383693751591	30.196195050421075
SLC22A17	23.809960586651684	43.6075884767792	442.5779901266431	47.534984441180086	216.16123180850255	45.780146175875736	22.607050631572623	37.00087448818184	13.692878223083595	77.59962605279055	9.29331151682615	38.5258596489862	15.781468212925411	13.213331860847276	8.508561691688582	22.941273274621018	14.441594947602844	13.692922895657901	15.28973675285907	26.321060477473956	56.56531933591188	52.62128254656348	10.848426382629702	6.594160649201188	8.697828962104868	16.75579579138343
