NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	VAT.neut	Other.neut
ME1	70.22782044758773	55.641713487541466	25.362147488216344	64.53636477126558	23.822829027628362	26.88446511987633	28.780171299145568	19.163380641003023	103.27296512485172	47.590125414047165	28.71378481037802	40.117866721512925	54.16512371535164	1218.1487689887658	298.00209524050797	1997.00325329149	1115.601966821803	184.391314639654	61.11963518939247	43.825680498760455	20.608302712374353	101.45261797656703	49.43352316145641
MEF2C	5166.1161685657535	1908.9797459352992	2133.113969234186	51.730707978184626	34.874180609692566	32.96433026466788	26.77541627449405	32.423598140504716	141.05329621690674	26.03694796177754	99.18000510382498	53.878393031272076	1078.8384887069392	58.66320882438035	112.78902907347405	310.8873585935046	107.35009546535264	52.05322914915399	47.76501858977458	61.027562801575854	111.1643341969935	12.330490949670025	344.4121256973792
MEFV	16.092260327796577	15.946042757419534	9.916679661848885	7.948764283468572	6.210187199348396	9.195673709777974	6.806565915270681	8.578098320633908	23.00761590998541	10.110887483749917	12.644263120171765	10.17642734178599	356.89073646483	9.033592991389128	7.799595863819773	7.324011707088772	8.306305998806303	8.13085009357463	11.712486569287456	10.791351742403979	13.115301247089516	154.76381356661204	209.44303863518684
MEIS2	169.25665698858882	69.61379113538145	32.10964833738385	25.32353121586125	9.255484690014613	35.53504627070265	21.41815225573033	23.822829027628362	34.39125179557706	32.98910175438414	34.77600855721899	18.09880033513801	31.436407510386157	26.340200302882423	16.216635099967032	21.245295030157628	27.869472637228874	35.91257706374044	2501.852634455474	690.4758991505196	167.94200174866745	55.02964285745487	39.021365779042455
MELK	42.6081821691454	60.67274145012338	125.13891379146804	55.33394947529303	44.76282069369932	43.917100547572055	2150.9798468634044	371.07315995185775	28.21444310436713	248.49466993264994	84.85281861285947	307.9272478949567	12.72360699928479	70.59722182587564	444.8619619659897	65.58845970004438	60.36894013898199	303.2508573620631	139.40644244630232	280.3385455076009	80.65208528067268	9.242628083615013	43.48361905124902
METTL7A	2050.421382577926	1952.8023161506703	2913.317909840503	152.06774506454423	55.932507813510824	40.151197405558044	44.7436373352647	26.646588020673864	372.0455775399438	366.71273038737024	778.0173425717003	87.34575130810302	789.0065414190791	102.81159535489772	94.83115609127162	1929.137006579553	918.0318040128763	191.66174342045204	384.4522276342201	271.9642086537523	635.566309471302	445.3677924870879	219.3774050004999
MFAP4	10.96281058196344	12.1017315040271	13.43715232415845	13.97062156439984	15.479863349478174	13.519688407363647	13.826750020119158	11.85374926500387	11.794827222335936	10.82040153596795	11.634643371619479	9.595400293826145	12.614422264915802	10.600549080928168	11.69252938038201	12.344780305910593	12.637688903023637	12.573114288216246	12.26112436986965	13.257622039890848	15.511153769637222	782.8286724240213	18.07136812712813
MGAM	6.702533731500562	5.046956179312908	4.943810940869865	4.240485527087522	4.849618430629584	5.551476553629515	4.923085178697439	5.349326557336347	24.744189263474972	7.1967228255356215	178.96327478737174	24.671896083680423	79.64091422794431	9.767855497986226	5.028120204179013	5.294797749833391	7.127199723253092	5.829679881479643	128.8959071533017	66.34280281875088	412.69826510231235	5343.340168488971	3857.7237674165503
MICAL3	187.57506838255736	179.36559696933028	42.71535981850139	50.02248045309284	12.389683544950943	62.01701264816664	63.51077061762888	45.255297854682865	20.70476093845913	9.761451063273846	21.58298836037274	57.15560336648597	10.60489807070417	12.56241510191815	15.025108370466073	11.801843921714354	13.393597455496154	13.726516175563868	76.92244347143769	62.14355177199066	24.564251221211347	116.80838377120028	18.95006857894885
MINPP1	119.07024089833833	78.73825217675804	319.2843384098711	79.22443884203285	93.16421559928763	84.53246810651483	274.77447321675663	153.59480762087026	214.82936085111137	78.26123433058336	123.52800897611041	171.2379419280385	129.8221297892436	340.4777991634637	197.53246952013637	212.29532958478183	321.22162808222186	212.08015360328721	2017.2735597639262	2810.4496927032696	26.079031839066253	19.15295247122213	52.85688095753657
