"file_id.BAM","file_name.BAM","file_id.expression","file_name.expression","cancer","source"
"fd97e496-2071-4a24-9267-aac611222d12","fb29d352-af88-403d-8637-939ce19d126e_gdc_realn_rehead.bam","f1ee7e95-5391-4ade-8fb5-7d4b22b2226f","e871f1f5-3aec-4f7c-b5f0-f843b6ee5699.FPKM-UQ.txt.gz","READ","tumor"
"fd97e496-2071-4a24-9267-aac611222d12","fb29d352-af88-403d-8637-939ce19d126e_gdc_realn_rehead.bam","e04eb755-ac7c-47df-ae29-b4e4d3a48c20","e871f1f5-3aec-4f7c-b5f0-f843b6ee5699.FPKM.txt.gz","READ","tumor"
"fd97e496-2071-4a24-9267-aac611222d12","fb29d352-af88-403d-8637-939ce19d126e_gdc_realn_rehead.bam","e6b1a777-8fa5-4102-a551-61376b712e67","e871f1f5-3aec-4f7c-b5f0-f843b6ee5699.htseq.counts.gz","READ","tumor"
"74b0ab15-eae8-4113-bb3e-6e77d8777122","1a88a2df-e40a-4beb-84c2-43c9971f8a77_gdc_realn_rehead.bam","4a5d3382-7f15-40ae-874b-eebf98395a0d","f042c745-5531-4011-b868-0729d28c1ea8.FPKM.txt.gz","READ","tumor"
"74b0ab15-eae8-4113-bb3e-6e77d8777122","1a88a2df-e40a-4beb-84c2-43c9971f8a77_gdc_realn_rehead.bam","c80dcd19-8e7a-4301-9717-194359a563b5","f042c745-5531-4011-b868-0729d28c1ea8.FPKM-UQ.txt.gz","READ","tumor"
"74b0ab15-eae8-4113-bb3e-6e77d8777122","1a88a2df-e40a-4beb-84c2-43c9971f8a77_gdc_realn_rehead.bam","f107a863-5991-4d14-a4ab-a0dd6fadec00","f042c745-5531-4011-b868-0729d28c1ea8.htseq.counts.gz","READ","tumor"
"0b2e5ffc-3a7f-4178-b0c7-c63c55ca91c4","7ca2f8b0-394d-41ea-bc8c-57ac2fab8dcf_gdc_realn_rehead.bam","d4f9f586-564f-49ca-a8f0-889f1684b878","c9fda97f-787a-4108-be56-a30a607536b6.FPKM.txt.gz","READ","tumor"
"0b2e5ffc-3a7f-4178-b0c7-c63c55ca91c4","7ca2f8b0-394d-41ea-bc8c-57ac2fab8dcf_gdc_realn_rehead.bam","3050e161-db27-40e3-aa0a-4c0cfa7f6d1c","c9fda97f-787a-4108-be56-a30a607536b6.FPKM-UQ.txt.gz","READ","tumor"
"0b2e5ffc-3a7f-4178-b0c7-c63c55ca91c4","7ca2f8b0-394d-41ea-bc8c-57ac2fab8dcf_gdc_realn_rehead.bam","5ab4230e-0846-4874-a194-591ae9ec73e2","c9fda97f-787a-4108-be56-a30a607536b6.htseq.counts.gz","READ","tumor"
"65644170-e9da-4222-a569-813501b75432","8a19ad18-f83c-4699-a329-6a71ec91ed86_gdc_realn_rehead.bam","0501cb94-8a80-4451-a4dd-e98abf37463f","5a53d4a4-d07a-4818-84e8-094440e3a55e.FPKM.txt.gz","READ","tumor"
"65644170-e9da-4222-a569-813501b75432","8a19ad18-f83c-4699-a329-6a71ec91ed86_gdc_realn_rehead.bam","fb2b5908-a020-465f-80dc-27a0f0622b6a","5a53d4a4-d07a-4818-84e8-094440e3a55e.FPKM-UQ.txt.gz","READ","tumor"
"65644170-e9da-4222-a569-813501b75432","8a19ad18-f83c-4699-a329-6a71ec91ed86_gdc_realn_rehead.bam","9a96daa3-8d55-4e52-85d7-35ec766741bf","5a53d4a4-d07a-4818-84e8-094440e3a55e.htseq.counts.gz","READ","tumor"
"8b2029c0-2961-4c7f-bf1b-bd76727f98af","ca0584a6-79c4-4039-bbb0-d9356aee05ca_gdc_realn_rehead.bam","1fd54f31-fd9a-4540-a9b6-7134f007d8f0","462a6c8e-b7d3-43d9-a021-49bb2c5686a5.FPKM-UQ.txt.gz","READ","tumor"
"8b2029c0-2961-4c7f-bf1b-bd76727f98af","ca0584a6-79c4-4039-bbb0-d9356aee05ca_gdc_realn_rehead.bam","19fd6711-b0ef-4177-8071-5e44292f7b5b","462a6c8e-b7d3-43d9-a021-49bb2c5686a5.htseq.counts.gz","READ","tumor"
"8b2029c0-2961-4c7f-bf1b-bd76727f98af","ca0584a6-79c4-4039-bbb0-d9356aee05ca_gdc_realn_rehead.bam","e239fbca-89ec-4628-b3ef-24da0364df40","462a6c8e-b7d3-43d9-a021-49bb2c5686a5.FPKM.txt.gz","READ","tumor"
"2c9301be-9633-413f-97e4-17c11c9cd45d","fd8b8b14-ee97-46dc-8eda-a77afdf5fe8d_gdc_realn_rehead.bam","b2ff9641-6774-441c-98cf-29f10ac85e16","b8b7ab76-be8a-4bfb-a931-b9767af9cd1d.FPKM-UQ.txt.gz","READ","tumor"
"2c9301be-9633-413f-97e4-17c11c9cd45d","fd8b8b14-ee97-46dc-8eda-a77afdf5fe8d_gdc_realn_rehead.bam","3990bcb9-0cd8-4ea7-94e8-d603912fa248","b8b7ab76-be8a-4bfb-a931-b9767af9cd1d.FPKM.txt.gz","READ","tumor"
"2c9301be-9633-413f-97e4-17c11c9cd45d","fd8b8b14-ee97-46dc-8eda-a77afdf5fe8d_gdc_realn_rehead.bam","0aa73120-49bb-4ebd-8cff-1680aaeacc1f","b8b7ab76-be8a-4bfb-a931-b9767af9cd1d.htseq.counts.gz","READ","tumor"
"93be2945-a8ed-48c6-8835-0d4c2f007334","5451e137-26ed-425d-9204-a5b81d33f767_gdc_realn_rehead.bam","824f28db-845c-477c-b24b-1bb9734d23d0","40349596-c455-41e5-b633-aa858711fc40.FPKM.txt.gz","READ","tumor"
"93be2945-a8ed-48c6-8835-0d4c2f007334","5451e137-26ed-425d-9204-a5b81d33f767_gdc_realn_rehead.bam","dacd4113-d8da-4832-bd9a-761ee5e25caf","40349596-c455-41e5-b633-aa858711fc40.htseq.counts.gz","READ","tumor"
"93be2945-a8ed-48c6-8835-0d4c2f007334","5451e137-26ed-425d-9204-a5b81d33f767_gdc_realn_rehead.bam","415704bb-3a94-49fe-8d49-b20bac39f5b0","40349596-c455-41e5-b633-aa858711fc40.FPKM-UQ.txt.gz","READ","tumor"
"edd2527b-92b0-4c30-8458-d9c568f48c1b","b49d1679-a681-4ceb-8fda-06a808d847d0_gdc_realn_rehead.bam","7aa21b5c-341d-46e8-afd8-02eb625d09c5","0f5dfd08-9300-4d9a-b9fe-04bf86c9b743.htseq.counts.gz","READ","tumor"
"edd2527b-92b0-4c30-8458-d9c568f48c1b","b49d1679-a681-4ceb-8fda-06a808d847d0_gdc_realn_rehead.bam","fb050e2e-0292-4bfe-bc36-30ccb1a0f974","0f5dfd08-9300-4d9a-b9fe-04bf86c9b743.FPKM-UQ.txt.gz","READ","tumor"
"edd2527b-92b0-4c30-8458-d9c568f48c1b","b49d1679-a681-4ceb-8fda-06a808d847d0_gdc_realn_rehead.bam","3813f155-b324-4020-a68f-48f17a986f50","0f5dfd08-9300-4d9a-b9fe-04bf86c9b743.FPKM.txt.gz","READ","tumor"
"54a61d82-2052-4651-8b17-e035fd09bc4c","514b5e7c-4f24-443b-bcf8-062acc866655_gdc_realn_rehead.bam","d300b7b4-4ff8-4f90-9a5f-37c4eaaf685f","2ffe5c2b-5baf-480b-9886-25253003b52b.FPKM.txt.gz","READ","tumor"
"54a61d82-2052-4651-8b17-e035fd09bc4c","514b5e7c-4f24-443b-bcf8-062acc866655_gdc_realn_rehead.bam","c04ed5a6-6c85-407f-902f-38d6f0bac5fd","2ffe5c2b-5baf-480b-9886-25253003b52b.FPKM-UQ.txt.gz","READ","tumor"
"54a61d82-2052-4651-8b17-e035fd09bc4c","514b5e7c-4f24-443b-bcf8-062acc866655_gdc_realn_rehead.bam","f6f0c3a5-9144-4d13-b0a2-4b5dbb3aaf96","2ffe5c2b-5baf-480b-9886-25253003b52b.htseq.counts.gz","READ","tumor"
"2c9b6da6-3168-4429-9abf-ed953f4e2b53","e575cb8f-b31d-4daf-844e-5a5ff71a36b6_gdc_realn_rehead.bam","90aa543b-8929-4a38-b38b-3c69afb34f06","a7751cc2-eed3-4fb9-aaf0-abbd31bca875.htseq.counts.gz","READ","tumor"
"2c9b6da6-3168-4429-9abf-ed953f4e2b53","e575cb8f-b31d-4daf-844e-5a5ff71a36b6_gdc_realn_rehead.bam","65db4d28-4896-4dec-85b9-9af0425b5f48","a7751cc2-eed3-4fb9-aaf0-abbd31bca875.FPKM.txt.gz","READ","tumor"
"2c9b6da6-3168-4429-9abf-ed953f4e2b53","e575cb8f-b31d-4daf-844e-5a5ff71a36b6_gdc_realn_rehead.bam","766ee17a-78ea-419a-9a74-497e1e2100d7","a7751cc2-eed3-4fb9-aaf0-abbd31bca875.FPKM-UQ.txt.gz","READ","tumor"
"a00bb3a9-e2f2-42a7-849f-483d782319e7","ebabe902-4cbb-4d49-870b-faf9e9b9c174_gdc_realn_rehead.bam","87089e12-e2b1-4079-8679-5248f0600939","c74bce4e-18cd-42af-ae4c-9bb423efa9f9.FPKM-UQ.txt.gz","READ","tumor"
"a00bb3a9-e2f2-42a7-849f-483d782319e7","ebabe902-4cbb-4d49-870b-faf9e9b9c174_gdc_realn_rehead.bam","4ff9e5b5-a217-439e-a044-320c7fad6c7e","c74bce4e-18cd-42af-ae4c-9bb423efa9f9.FPKM.txt.gz","READ","tumor"
