Gene	GSM368455	GSM368458	GSM368459	GSM368460	GSM368464	GSM368840	GSM368841	GSM368842	GSM368844	GSM368845
UBE2D4	151.81102	144.28242	98.23418	143.43347	157.83025	224.93008	94.91347	150.03629	135.47372	139.77953
UBE2E1	525.752	423.0495	1187.359	827.89343	688.2729	460.62646	998.0094	672.59845	1131.3696	721.4978
UBE2E3	229.89464	270.28882	597.51556	567.6776	435.26556	1144.3314	527.6462	549.1279	628.2216	626.4603
UBE2G1	180.99945	197.97963	377.02878	365.0558	184.27473	264.61115	234.08174	288.63696	328.70517	218.78973
UBE2G2	160.99591	164.89714	297.79956	238.24033	166.03345	170.18298	105.794556	182.01015	238.971	164.92781
UBE2H	571.25793	373.32098	131.11862	89.0183	247.20422	391.00635	75.38526	127.317566	102.62045	85.9737
UBE2I	104.04689	104.04689	100.40906	83.53174	108.16225	100.362434	67.21739	181.42838	179.15306	96.01667
UBE2J1	291.4567	301.01584	610.6326	561.8077	466.8126	200.06201	337.9774	288.704	352.91397	169.00658
UBE2K	139.12274	88.68445	199.84872	182.32295	270.77826	207.52203	179.43588	211.70425	167.85384	160.18375
UBE2L3	262.72098	243.50981	774.4012	594.2525	432.9691	453.34283	385.60995	614.9971	645.5676	387.82608
UBE2L6	443.98547	152.46042	1170.5109	1002.93024	554.2987	773.9342	1676.1334	828.1813	1653.576	903.3981
UBE2M	60.129517	64.39941	31.313128	28.316383	73.57786	340.50378	28.237652	50.633297	65.95835	63.976475
UBE2N	344.9005	313.75064	470.09488	433.1097	318.03796	287.37405	415.84814	476.06552	460.8831	337.47607
UBE2NL	323.00537	417.6856	273.07446	307.78827	259.00507	304.28076	311.75528	286.52203	276.38892	297.74448
UBE2O	243.1994	157.20534	128.35565	107.69649	218.4601	373.16525	106.08952	113.836815	92.88561	156.46667
UBE2Q1	178.06319	135.32478	254.31879	224.83615	245.10263	210.4847	270.9224	260.22778	332.55606	226.73758
UBE2S	11.74146	17.794273	25.418215	24.50789	24.077314	61.79696	32.948273	20.709795	25.515112	24.428411
UBE2V1P9 /// UBE2V1P9	10.960674	11.916544	9.443884	9.829269	9.949493	12.6533785	16.269247	9.015691	9.780137	11.779111
UBE2V2	56.024323	65.116005	85.76255	74.20354	37.779793	28.313087	52.599373	51.740047	59.62524	41.638706
UBE2V2P3 /// UBE2V2P3	24.615019	32.119545	14.275796	17.978514	16.850082	22.579697	17.516562	14.539865	17.141071	19.484825
UBE2W	18.587997	28.488361	38.852676	57.747818	136.55489	27.292755	129.95868	49.82804	56.269215	63.328197
UBE2Z	168.47023	140.6088	361.4154	299.7335	277.10138	196.43314	294.8708	359.3836	372.07593	275.665
UBE3A	217.09082	218.94711	617.1698	449.01987	322.0921	324.59787	250.49487	411.00415	560.9088	399.82153
UBE3B	121.8329	105.97642	96.57967	102.85168	107.37718	116.57906	104.37087	112.37263	106.8454	100.40906
UBE3C	71.78051	57.84709	100.43478	112.51616	75.823784	29.869118	111.08447	146.5405	129.91959	100.54422
UBE4A	150.15767	194.74971	504.66992	484.7477	397.04886	168.57196	438.25455	493.25626	452.38687	269.53708
UBE4B	112.90306	133.47888	187.72269	182.68706	196.27377	147.25616	183.74977	242.74847	250.3265	193.94254
UBFD1	45.81946	20.184689	22.81826	19.100357	18.578516	55.14615	11.83307	17.998962	14.489017	19.633677
UBIAD1	34.961212	44.425156	36.681175	41.065014	40.32483	39.15039	40.534943	38.17452	49.628456	51.40505
UBL3	248.48637	225.0395	416.97855	389.40378	310.23276	206.88258	346.27155	311.03986	304.90952	304.99457
UBL4A	98.13361	88.41316	153.14818	158.01346	113.89502	133.28401	127.146416	132.1264	134.91417	112.9791
UBL5	235.5036	242.66966	851.8787	591.5706	399.1358	384.93094	348.93314	299.21942	306.86124	280.21127
UBN1	120.08461	124.18727	182.79747	184.99474	880.10455	276.78668	926.0205	357.39664	259.8539	579.87085
UBOX5	94.85207	87.06573	111.83689	80.85846	88.95228	83.14508	83.48137	77.16363	80.671135	86.15748
UBP1	107.26517	84.789215	293.724	200.87146	147.45459	131.21606	222.42885	275.6269	269.87503	242.636
UBQLN2	202.94188	229.13338	699.44574	520.7271	394.46918	239.07108	646.1824	548.58044	552.0532	502.46228
UBQLN3	5.885808	5.92032	5.246996	5.70035	5.5258603	6.1619167	5.6262465	5.5585203	5.449473	5.6262465
UBQLN4	31.172493	49.699856	51.75447	61.362617	49.729893	56.813606	54.710293	63.218105	48.72937	72.33718
UBR2	562.029	494.3441	791.0339	672.3797	690.60834	947.5999	818.6486	751.5681	798.4463	595.5909
UBR4	55.995747	60.043076	113.760254	86.74106	113.38609	58.59538	65.84368	99.881584	141.90662	88.524025
UBR5	54.15087	57.475166	182.50917	130.23642	132.10492	79.93701	146.7106	138.31491	137.34282	106.0034
UBR7	35.001774	46.319637	120.23507	72.60281	65.89413	32.010914	92.85541	91.49746	135.36563	50.424606
UBTD1	46.300297	51.567474	40.84078	41.968464	43.227448	47.312355	43.161293	39.767372	42.149944	43.84558
UBTF	44.218483	117.88455	76.45084	62.44409	35.022907	49.23622	61.913197	78.83562	53.11197	60.00272
UBXN1	89.07618	143.33276	313.19073	301.63107	279.50345	340.00665	281.33157	306.94684	336.8815	304.85324
UBXN2B	589.4323	491.4054	704.6896	939.71826	594.05927	531.17126	964.993	531.62683	704.0682	639.02576
UBXN4	143.01053	132.07733	209.95322	132.27977	279.09512	110.917	235.74426	183.78824	179.94458	135.83447
UBXN7	32.562977	44.770725	70.64218	76.2984	204.52031	39.264996	87.30028	142.16364	59.60173	77.22451
UBXN8	8.757579	8.964797	7.7774353	8.329143	7.955185	8.509228	8.00926	7.727077	7.805634	8.054353
UCHL1	4.3603973	4.4039106	4.0544167	4.177787	4.0869045	4.2507234	4.086525	3.9682426	3.9991112	4.098489
UCHL3	38.81486	27.87381	61.0616	78.15634	59.273533	31.108917	36.050945	37.764046	50.688545	31.337095
UCHL5	30.35673	18.466784	52.164314	61.590828	27.602877	21.650135	63.31935	54.03918	62.49187	54.71285
UCKL1	8.5222645	5.7138505	11.472182	7.569159	8.573032	8.627304	8.649749	11.525538	8.5222645	7.4576006
UCN	5.5061526	5.7665915	4.773554	4.896719	4.9708896	5.3299356	4.9909973	4.6859894	4.7924185	5.0281887
UCP1	5.141196	5.320051	4.279618	4.649388	4.5619845	4.8964906	4.544237	4.234384	4.3466606	4.5795865
UCP2	3909.989	2708.4878	2210.9744	3308.6443	3546.3142	4799.8286	2174.5986	3834.8018	2888.5947	3669.3416
UCP3	151.04512	166.21858	102.527664	118.58681	123.609535	141.41371	110.917	99.35697	110.70106	107.99177
UEVLD	13.019655	18.8385	12.501637	16.148159	12.878459	13.022678	13.175234	10.846836	12.054466	13.510784
UFC1	450.10434	402.18472	878.8389	904.97095	465.84976	642.59344	505.04428	703.12177	600.5863	668.3824
UFD1L	378.98483	354.61298	623.9076	538.0551	415.61682	475.48065	462.86566	380.26193	413.07913	369.26385
UFL1	109.011246	104.63752	260.19763	250.03638	131.43845	90.02147	200.39656	198.96501	197.5759	159.71994
UFM1	244.4834	237.72116	303.8855	235.89719	186.25623	188.18478	350.89734	281.9195	259.35382	320.42267
UFSP2	66.71402	70.783264	107.163124	68.92289	61.84141	67.825195	76.845604	109.14789	90.02147	66.82864
UGCG	270.6084	179.6399	256	183.70282	585.53485	138.62318	313.11053	373.93637	212.95038	167.30176
UGDH	11.865233	11.164452	16.264713	19.570002	16.613297	16.178158	16.378317	16.449148	23.597284	15.075036
UGGT1	60.567753	61.69094	51.190796	54.817043	54.124516	63.69212	53.90646	50.354485	50.944366	54.621532
UGGT2	10.365607	10.912462	8.225062	9.032858	8.405237	10.227534	8.865107	7.8510385	8.144926	8.927852
UGP2	418.986	455.01822	1392.1366	1021.4105	664.5938	371.44608	752.68494	774.6169	844.45935	639.4854
UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	45.150414	26.698412	22.364899	36.10368	26.395407	25.177572	26.422356	19.60635	20.58047	27.702957
UGT1A1 /// UGT1A10 /// UGT1A4 /// UGT1A6 /// UGT1A8 /// UGT1A9	17.602116	15.248805	12.777272	13.334529	11.609816	13.626634	17.085491	13.175238	10.798131	13.471347
UGT1A1 /// UGT1A3 /// UGT1A5 /// UGT1A8 /// UGT1A9	7.2410736	7.377067	6.595962	7.060583	6.7467084	7.0684505	6.7846947	6.5690846	6.1464963	6.842869
UGT2A1 /// UGT2A2	16.089077	23.720245	10.024566	13.405872	13.311039	18.117533	12.178149	12.579029	10.19721	14.214327
UGT2A3	11.596885	13.869022	7.0103087	8.829389	7.931962	10.950503	8.209428	6.8565335	7.169526	8.313695
UGT2B15	11.335668	15.949337	9.082456	9.955501	9.622143	10.785608	9.691145	8.893951	9.11623	9.878197
UGT2B17	21.786188	15.304801	8.228118	9.924134	9.38491	10.813666	9.515582	9.095104	7.934907	10.2095175
UGT2B28	10.196736	10.263192	7.0977	8.596138	8.161573	9.146737	8.274443	8.035316	7.576892	8.213622
UGT2B4	7.775631	8.725941	5.6998196	6.6198783	6.268037	7.3767257	6.355605	5.5104976	5.86536	6.4749684
UGT8	7.540417	8.668234	6.5837307	7.236707	6.775885	7.8978066	6.94781	6.1299767	6.3103514	6.94781
UHRF1BP1L	74.38109	66.74189	87.12018	100.83388	75.01188	21.489506	101.20652	72.06413	76.63553	61.576527
UIMC1	179.84439	118.240685	161.18288	151.61395	169.08115	112.11224	163.16203	137.53096	110.70618	127.471375
ULBP1	7.6418567	8.329143	6.1299767	7.1678634	7.0523963	7.707381	6.920139	6.693388	6.666114	7.128063
ULBP2	7.565296	8.207526	7.6181355	9.556731	7.193184	6.1619143	7.495417	7.387686	6.3813124	6.9875755
ULK1	23.516409	41.422886	38.16744	29.010605	38.46613	64.94254	54.03166	36.575806	35.66246	39.05604
ULK2	11.247651	11.101431	10.035272	10.525552	8.481637	11.1572	9.433376	14.146557	10.585308	11.4785795
