Gene	GSM1571528	GSM1571529	GSM1571530	GSM1571531	GSM1571532	GSM1571533	GSM1571534	GSM1571535	GSM1571536	GSM1571537	GSM1571538	GSM1571539	GSM1571540	GSM1571541	GSM1571542	GSM1571543	GSM1571544	GSM1571545	GSM1571546	GSM1571547	GSM1571548	GSM1571549	GSM1571550
ARHGAP9	2444.92522927208	3430.95816660232	2909.97535609829	3667.67080741227	3221.65888128438	3304.48682865663	3190.33531779707	2677.36636053528	3749.67585436348	3637.52276085199	3418.63888063347	2999.36010892454	1953.01776911613	3122.81770734429	2699.79050908266	3264.5270264619	4284.09114874945	4759.33176332788	4134.17160677109	4753.16549923236	3123.34768289832	3228.7813701718	3385.40736981801
ARHGDIA	151.53927304647	88.0823917121754	127.809686779386	136.129479965329	123.87178374675	120.58786065305	133.753102311605	83.3696392237972	111.689871734739	142.28394713395	97.7778981395892	71.7171056916525	44.9955029126437	70.7961943403636	80.0230884655569	65.1276923551339	89.8822933941408	71.8004540875726	56.3174813267501	76.732678517038	72.5511698461525	53.0928035333983	58.7135420662892
ARHGDIB	6635.83854723075	5567.14270665238	8740.14379404508	9589.33589373309	6643.27692925817	7603.13883549651	8268.57418327319	8627.93026101641	8825.57414390417	9311.72418083008	7470.2652241379	7145.98108569486	6294.33862503664	8743.34959689408	3771.63068481828	7242.48286054387	7202.47244180994	8674.29588606316	5986.95686263756	10742.8097884843	5591.45987363788	7341.53416437396	6706.30814949533
ARHGEF1	28.0032218546939	34.6767678719974	21.5864800551082	34.8664571176333	35.8167031160654	30.859486165522	22.4087322636799	28.0032218546939	31.8993624933363	32.0638668602513	26.6142757157405	37.0036125646779	26.8978764612854	28.0032218546939	28.0032218546939	27.3183217695747	25.905196358781	28.0032218546939	28.0032218546939	38.6708613211177	21.6813891414547	28.0644109020235	31.5808815698086
ARHGEF11	79.6271655225022	199.291451548578	48.9022484335975	64.6789343027477	78.7052366786622	56.3978785719807	70.8198730265307	126.265280697901	60.2064194914279	57.2862457563718	124.225133924266	67.7528126602563	75.4600240584007	104.164407476972	64.7814851522147	96.3928986072879	81.6930032933024	131.701044390543	83.1492873785398	77.8714264118179	77.3991628425068	73.438581469991	87.0239433709945
ARHGEF18	770.146062126301	421.297649901137	395.854510826983	334.153529378844	818.724878054771	695.701201950345	664.478283112059	765.092895857439	795.102256385536	790.968065850608	1069.51444313045	929.642502583594	555.680710786691	814.209903314546	1078.61355188192	1412.51510499284	805.320275906013	814.209903314546	1019.26187229287	502.810631009909	562.200507181044	922.983064262233	905.823599933146
ARHGEF2	2111.14462607505	1580.46964356137	1531.19256040182	1678.20842849471	1492.67553133274	2162.57463693148	1395.97132330634	2158.73223500291	2273.68960281768	2101.2997623517	2063.03110780398	2528.46082370641	2130.55212079125	1968.0361420603	3186.02219079635	2295.93801852931	2447.71503037802	2314.34153808719	1690.33440147349	2512.07706799194	1743.02761366981	2256.68842835654	2095.37494996976
ARHGEF3	52.4255234837095	97.1329293372956	274.546896155678	297.815876602058	57.1178785408104	172.702199664186	101.848012495372	75.8261775298307	101.848012495372	92.495732560892	163.468669474586	167.793483207563	302.049358851617	193.807242704437	148.8271334037	27.8965528398026	76.2716568148419	74.5020438941934	58.2250415562081	65.3209075808638	241.214094950963	86.1595602253134	80.0735097441527
ARHGEF40	319.312557236154	467.987253614877	158.544050733318	345.181027426818	1312.3744165658	755.561362182494	823.430620382582	885.981250517426	1123.34762500476	875.693523854469	717.95633052227	721.982201190624	709.462122000035	725.69167571462	811.668639583077	1704.03940244528	2535.76657183666	1430.95178811033	1573.12335779496	1103.29406987306	1016.88091467374	1915.74865834113	1684.92950842247
ARHGEF5	94.3173769413145	209.55530554175	54.857963017317	63.8591442072896	116.582800603081	78.0399829696051	261.066884902525	54.0131564637565	49.3307674592275	44.0480950169303	102.655507902982	91.2971936297676	43.3595759105685	37.3193701631035	50.7310760679144	45.4817979906872	45.4534488766456	39.5428908918237	146.124152588829	44.0480950169303	48.1616663570366	70.0051372296907	66.3756815697496
ARHGEF6	1062.88979909721	986.607691318984	2969.09582402696	2437.02063243955	2787.2776192524	2168.25045959457	2151.91404887245	1805.75593903998	2488.33011782447	2204.60994296346	3290.35107499456	2858.2975419055	2774.64999401463	2480.10564323137	3908.49969539823	2244.91513164725	1903.06143448798	1733.797196478	1710.71948718743	1881.35882505902	1962.48967715413	2248.90544642297	2206.55765721404
ARHGEF7	31.8073723124952	30.4057042884752	61.0924508855109	71.4541416189173	30.922871968708	25.4380520747006	28.8968308059689	36.6733774587115	46.5621288638187	21.2422981357768	73.316149059199	66.4413259078358	66.4756702862676	46.6664560170953	83.0499952177144	84.0475029768927	47.5325577916225	49.7644087886281	57.0128150004457	47.7110562622218	48.0080637959811	45.5801919479134	46.6664560170953
ARID1A	145.965631449352	147.465395653098	118.476788374991	120.60205039896	136.826480712432	149.21462681746	90.8935030489215	96.5736029348608	184.251715172944	133.41435911735	123.203426909451	112.002032277138	121.62196081199	134.479208289139	270.643035836644	229.642838334952	227.525050262843	185.700284845708	196.219494242924	239.381046972761	115.643655895671	170.502607812146	151.710605594686
