Gene	GSM737030	GSM737031	GSM737021	GSM737032	GSM737022	GSM737023	GSM737024	GSM737013	GSM737014	GSM737015	GSM737016	GSM737025	GSM737026	GSM737027	GSM737028	GSM737029	GSM737017	GSM737018	GSM737019	GSM737020
ABHD2	7.56671	8.0779	8.01009	7.8735	7.3872	7.78387	7.89025	7.59961	7.83103	7.841	7.98153	7.82739	7.91294	7.61366	7.71664	8.24957	7.81643	7.68132	7.76606	7.81643
ABHD3	6.69912	6.75666	6.87168	6.56663	6.78364	6.83057	6.66494	6.9108	6.9952	6.85525	6.95036	6.69522	6.55317	7.06601	6.9108	6.78098	6.70225	6.73186	6.96871	6.86943
ABHD4	7.62573	7.22327	7.41371	7.70426	7.55865	7.42559	7.72098	7.51532	7.81507	7.55657	7.60137	8.13635	8.01074	7.07054	7.18548	7.71916	7.71785	7.69436	7.44089	7.1305
ABHD5	9.41953	9.03382	9.10433	8.99705	8.43571	9.12979	9.40005	9.76924	9.65777	10.7689	9.54614	8.54016	8.47376	9.13579	9.2833	8.35353	10.0871	9.76433	9.41532	9.01072
ABHD6///ABHD6	7.82323	7.30108	7.34759	7.45176	7.56643	7.52236	7.98078	7.76425	8.12564	7.58106	7.61638	7.71556	7.89459	7.27643	7.35539	8.20938	8.0941	7.93412	7.77414	7.41215
ABHD8	6.8722	6.69628	6.40897	6.84311	6.75918	6.70261	6.70513	6.70546	6.68641	6.73133	6.6045	6.45275	6.9987	6.5801	6.46586	6.5133	7.06796	6.96876	6.71179	6.47754
ABI1	7.28292	7.62737	7.9559	7.91468	7.73123	7.90568	7.79883	7.59381	7.91928	8.05156	8.07113	8.02474	7.87339	7.60513	7.88445	8.41995	7.87424	7.71527	7.97098	7.989
ABI2	7.07703	7.86729	7.91638	7.66234	7.5949	7.54941	7.32491	7.29934	7.41643	7.41601	7.37039	7.16431	7.56205	7.53155	7.68038	7.8641	7.46798	7.34928	7.6022	7.62382
ABI3	6.49621	6.81313	7.29477	7.38223	6.66573	6.49251	6.41179	6.33335	6.3351	6.54939	6.372	6.23223	6.38349	6.57298	6.14433	6.43477	6.5116	6.32404	6.44084	6.4876
ABI3BP	7.64883	9.29442	9.04861	8.81802	8.53944	10.1523	8.72108	8.37809	9.29543	8.58267	9.65317	8.29538	9.65775	8.3985	9.31536	9.80803	8.85279	8.86351	8.66124	9.45579
