Gene	GSM737030	GSM737031	GSM737021	GSM737032	GSM737022	GSM737023	GSM737024	GSM737013	GSM737014	GSM737015	GSM737016	GSM737025	GSM737026	GSM737027	GSM737028	GSM737029	GSM737017	GSM737018	GSM737019	GSM737020
GOLGA2P11	5.08148	4.98293	4.72718	4.96612	4.90463	5.08926	5.51231	5.41182	4.93724	5.07269	5.51825	4.93535	5.17831	5.29816	5.28888	4.87528	5.01405	5.4806	5.07888	5.09544
GOLGA2P3Y///GOLGA2P2Y	6.72341	6.47052	6.51488	6.8496	6.41187	6.60395	6.46083	6.53454	6.46144	6.72374	6.49313	6.76376	6.59451	6.45699	6.67104	6.00522	6.59087	6.76815	6.45431	6.34818
GOLGA2P5	5.17197	5.38032	5.01316	5.29731	5.38759	5.03775	5.21634	5.30502	4.89888	4.89603	5.10075	5.10055	5.17664	5.18965	5.17241	4.88926	5.41367	5.21654	5.20961	4.91893
GOLGA2P6///MTPAP	6.11605	6.15859	6.21171	6.10613	6.3714	6.04361	6.04986	6.25439	6.3136	6.35563	6.2523	6.16425	6.06901	5.98496	6.15859	6.17539	6.13918	6.15859	6.13134	6.21729
GOLGA2P9	6.60707	6.4337	5.94014	6.40433	6.43607	6.35905	6.67305	6.64698	6.36329	6.45332	6.38069	6.3985	6.59248	6.8696	6.4983	6.15236	6.44078	6.44078	6.45332	6.3211
GOLGA3	7.97198	7.77434	7.60854	7.86987	7.74774	7.8606	8.19055	7.75394	8.01449	7.71893	8.02615	8.19444	8.17089	7.62677	7.88064	8.15796	7.65749	7.90403	7.94194	8.05684
GOLGA4	8.35207	8.52391	8.74354	8.19096	8.22552	8.35729	8.69588	8.80986	8.7626	8.51847	8.65432	8.5792	8.27406	8.4272	8.67719	8.5513	8.0038	8.52378	8.4803	8.74389
GOLGA5	6.90756	7.22332	7.2468	7.22843	6.79366	7.13058	7.57629	7.18149	7.67451	7.08172	7.45717	7.49042	7.39204	7.05274	7.45147	7.7494	6.8372	7.06902	7.13197	7.58957
GOLGA6C///LOC645752///GOLGA6A///GOLGA6B	5.58628	5.42902	5.46801	5.73469	5.67721	5.78426	5.6935	5.70749	5.5397	5.8125	5.67721	6.05923	5.54152	5.5424	5.90427	5.25549	6.0603	5.69095	5.67721	5.65551
GOLGA6L2	5.47774	5.28305	4.94827	5.4366	5.37397	5.20471	5.35892	5.4848	4.91867	5.37397	5.27493	5.46871	5.46565	5.45938	5.39329	4.94166	5.65003	5.61399	5.26402	5.37397
GOLGA6L3///GOLGA6L10///GOLGA6L4///GOLGA6L17P///GOLGA6L9///GOLGA6L5P	7.7937	8.00762	8.11772	8.12741	8.28145	8.23101	8.24395	8.2802	8.29135	8.31719	8.41126	8.2501	8.24331	8.46617	8.42454	7.98506	8.13077	8.09763	8.11904	8.25912
GOLGA6L6///GOLGA6L22///GOLGA6L1	5.20137	4.87788	4.90403	5.04272	4.73178	5.6107	5.55158	5.24392	4.96524	5.2421	4.99577	6.19256	5.00166	5.71706	5.92424	4.86606	5.2451	5.01784	5.19076	5.1686
GOLGA7	8.83847	8.856	8.7818	8.76697	9.004	9.11129	8.81846	8.94692	9.08083	8.94692	8.92852	9.0517	9.02362	8.51294	9.03488	8.78244	9.07935	9.08451	8.91485	8.90247
GOLGA7B	4.99771	4.58013	4.73671	4.77495	4.8934	4.80352	4.55425	4.66024	4.69275	4.91154	4.81213	4.66014	4.81587	5.05168	4.71779	4.59029	4.80448	5.30677	4.77495	4.63773
GOLGA8DP///GOLGA8CP///GOLGA8B///GOLGA8A	8.23908	8.55627	8.72462	8.9282	8.97587	8.2734	8.49917	8.65771	8.72746	9.1077	8.93022	8.51257	8.2683	8.89521	8.7472	8.71423	8.02853	8.66293	8.77226	8.86289
GOLGA8DP///GOLGA8F///GOLGA8CP///GOLGA8S///GOLGA8N///GOLGA8B///GOLGA8EP///GOLGA8G///GOLGA8A	6.31141	6.22362	6.15047	6.25887	6.16183	6.31513	6.36864	6.468	6.29458	6.34515	6.21681	6.51887	6.09752	6.3854	6.57081	6.0236	6.1147	6.30047	6.31141	6.35908
GOLGA8DP///GOLGA8F///GOLGA8CP///GOLGA8S///GOLGA8N///GOLGA8EP///GOLGA8G	6.37216	6.24977	6.17929	6.22733	6.19	6.36762	6.3423	6.45932	6.2983	6.37613	6.2494	6.51736	6.07817	6.41475	6.59543	6.03198	6.19552	6.31763	6.32403	6.37045
GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8IP	7.56654	8.05945	7.87654	7.9855	7.73556	7.49103	8.07983	8.1234	7.84593	8.68314	8.21185	7.57362	7.0391	8.63613	7.78001	7.81972	7.78936	8.10392	7.57231	7.38537
GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8IP///ULK4P1///CHRFAM7A	6.78451	7.01155	6.93384	7.05429	6.85726	6.66629	7.03151	7.1555	6.80022	7.53289	7.2062	6.82607	6.47079	7.41792	6.96982	6.85842	6.96809	7.09694	6.67187	6.76724
GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8N///GOLGA8IP	7.25382	7.35435	7.28817	7.41881	7.26962	7.06109	7.53937	7.65078	7.387	7.94637	7.70068	7.19873	6.92164	7.76876	7.4412	7.40582	7.44067	7.55356	7.24817	7.24588
GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8N///GOLGA8IP///ULK4P1///CHRFAM7A	6.63088	6.80063	6.83561	6.85687	6.6989	6.42693	6.90683	7.04652	6.67416	7.38905	7.051	6.67945	6.18001	7.31932	6.83204	6.78148	6.77409	6.91096	6.53906	6.66307
GOLGA8R///GOLGA8DP///GOLGA8CP///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP///GOLGA8IP	7.37434	7.45002	7.46003	7.47536	7.4408	7.2762	7.54585	7.75389	7.4969	8.08573	7.71085	7.31115	7.12127	7.98196	7.54846	7.53937	7.40225	7.68416	7.41556	7.3889
GOLGA8R///GOLGA8DP///GOLGA8F///GOLGA8CP///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8B///GOLGA8EP///GOLGA8G///GOLGA8A	6.79256	6.63526	6.586	6.70628	6.72612	6.74883	6.9115	6.97061	6.76691	6.87073	6.66631	6.90301	6.62014	6.84693	6.96723	6.55713	6.64232	6.93733	6.72973	6.78205
GOLGA8R///GOLGA8DP///GOLGA8F///GOLGA8CP///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP///GOLGA8G	6.46784	6.302	6.26663	6.42539	6.31871	6.46225	6.59101	6.65688	6.45377	6.47974	6.33845	6.61004	6.27122	6.60033	6.69625	6.25179	6.38223	6.5346	6.40832	6.51604
GOLGA8R///GOLGA8DP///GOLGA8F///GOLGA8CP///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP///GOLGA8G	7.30498	7.30684	7.32811	7.24109	7.23123	7.28551	7.28548	7.46874	7.32811	7.42447	7.26256	7.31556	7.15015	7.64001	7.46531	7.26632	7.32811	7.55279	7.28006	7.33807
GOLGA8R///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8N///GOLGA8IP	7.24834	7.40771	7.27153	7.34528	7.26265	7.05614	7.5663	7.69645	7.41041	8.06471	7.72947	7.2052	6.9021	7.8644	7.46269	7.41375	7.45512	7.58094	7.2561	7.21973
GOLGA8R///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N	8.61775	8.41443	8.69016	8.73052	8.84198	8.81781	8.61172	8.74573	8.4809	8.75746	8.79495	8.3771	9.293	8.92984	8.70301	8.826	8.97397	8.99125	8.55886	8.73535
GOLGA8R///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP	8.09727	8.06157	7.98657	8.09997	8.19693	8.06482	8.28698	8.43474	8.35008	8.43657	8.47068	8.03476	8.14543	8.74686	8.35688	8.26379	8.04368	8.35274	8.2801	8.22931
GOLGA8R///GOLGA8O///GOLGA8N	8.15658	8.24734	8.12896	8.43207	8.34819	8.16929	8.50437	8.6031	8.56717	8.72634	8.74349	8.23023	8.15682	8.68801	8.55161	8.39261	8.12237	8.39223	8.29963	8.15972
GOLGA8R///GOLGA8O///GOLGA8N///GOLGA8IP	8.25092	8.175	8.06651	8.26925	8.32704	8.32438	8.52081	8.67626	8.56238	8.40481	8.74509	8.26859	8.16782	8.79273	8.57596	8.44223	8.13782	8.33673	8.41756	8.33684
GOLGB1	8.22191	8.93378	8.82761	8.74573	8.52401	8.66313	9.05128	8.94843	9.1364	8.86762	9.00283	8.85323	8.62293	8.58363	8.9018	8.89556	8.68451	8.50932	8.79017	8.59797
GOLIM4	8.5606	8.88437	8.90141	8.93518	8.30226	9.01596	8.65225	8.51847	8.92315	8.43574	9.02685	8.70889	8.88192	8.35092	8.73861	9.10531	8.64039	8.41368	8.56015	9.09473
GOLM1	7.66234	8.46743	8.22682	8.36787	7.55627	8.11252	7.45327	7.48644	7.50895	7.29334	7.59026	7.61548	8.06722	7.19994	7.71521	8.23381	7.29667	7.36566	7.66143	7.83886
GOLPH3	8.39253	8.44617	8.49152	8.46652	8.57267	8.67688	8.59326	8.55447	8.64271	8.5612	8.51956	8.58958	8.72871	8.56577	8.53394	8.7734	8.58775	8.68155	8.57618	8.64921
GOLPH3L	7.58443	7.66823	7.60008	7.82556	7.32866	7.75334	7.66862	7.56134	7.86282	7.36538	7.5562	7.52158	7.40485	7.49789	7.52271	7.56875	7.4107	7.54809	7.57539	7.57793
GOLT1A	5.43731	5.06815	5.00113	4.77882	5.05452	4.94234	5.52097	5.1623	5.06494	5.40157	5.05439	5.33032	5.30308	5.34706	5.21128	5.23885	5.33866	5.51343	5.63097	5.11715
GOLT1B	7.21785	7.31978	7.43595	7.04389	6.82822	7.16014	7.34356	7.47106	7.25864	7.23624	7.36705	7.58426	7.37499	6.90263	7.54181	7.66419	7.08991	7.12827	7.40372	7.84892
GON4L	7.09661	7.39482	7.39274	7.15235	7.32924	7.27316	7.41611	7.45242	7.43463	7.35848	7.56128	7.10681	7.21801	7.70143	7.32522	7.53842	7.12868	7.10191	7.47372	7.50134
GON7	6.47252	6.73944	6.68584	6.76415	7.12422	6.73944	6.60244	6.73944	6.60973	6.56093	6.65856	6.85088	7.06248	6.73944	6.65564	6.88178	7.07835	6.99511	6.84273	6.73944
GOPC	7.60975	8.03987	8.05658	7.97542	7.7991	7.96395	7.66893	7.7294	7.9321	7.94721	8.01858	7.82342	7.81654	7.9225	7.95792	8.14966	7.82072	7.70299	8.13194	8.03785
GORAB	6.09503	6.57479	6.79122	6.75549	6.19791	6.60594	6.52611	6.48391	6.49552	6.39745	6.62326	6.68116	6.29916	6.91565	6.89878	6.94532	6.25597	6.5543	6.6615	6.97771
GORASP1	7.27283	6.82468	6.61618	6.7761	6.81551	6.94338	6.74462	6.48315	6.9137	6.59638	6.79386	6.84792	6.82588	6.87707	6.55497	6.93461	6.96566	6.80309	6.64306	6.76691
GORASP2	7.68235	7.72449	7.72755	7.54319	7.513	7.91808	7.72755	7.72496	7.94382	7.47507	7.72288	7.92879	8.10129	7.22101	7.75947	8.1899	7.5742	7.6576	7.67104	8.07218
GOSR1	8.01735	8.25072	8.28035	8.12145	8.12178	8.0503	7.88402	8.11461	8.09635	7.99685	8.23424	8.05656	7.97739	8.01226	8.03596	8.11423	7.84792	7.98645	8.13172	8.12798
GOSR2	7.59384	7.8416	7.55298	7.57637	7.33072	7.55093	7.56865	7.58778	7.71724	7.69325	7.66885	7.71083	7.64552	7.54359	7.46216	7.90424	7.67955	7.52101	7.66941	7.7204
GOT1	6.84562	7.13685	7.50265	6.78219	8.48862	6.76446	6.93633	7.08444	7.05016	7.17521	7.15096	6.53067	7.01454	6.77737	6.75984	6.74608	6.85072	6.8339	6.95727	7.01154
GOT1L1	5.0122	5.38058	5.12911	5.12911	5.35397	4.8348	5.37685	5.10384	5.11217	5.33356	4.95102	5.50529	5.07418	4.79251	5.26466	4.89887	5.55055	5.04201	5.00281	4.73429
GOT2	7.42825	7.69621	7.75273	7.65616	8.20753	7.34123	7.63267	7.12887	7.52379	7.30477	7.48237	7.30659	7.62473	7.38196	7.21598	7.82247	7.68595	7.50901	7.58917	7.58609
GP1BA	5.28303	5.01779	5.47317	4.71673	5.78295	5.15896	5.14187	5.0172	5.04857	5.21496	5.12771	4.92233	5.47186	5.32627	4.84421	5.09726	5.44176	5.07096	4.97628	4.88995
GP2	5.36703	5.03706	5.12269	5.0186	5.23291	5.17041	5.3776	5.38384	5.10032	5.18016	4.98502	5.36359	4.96253	4.97363	5.4028	4.83586	5.37321	4.95999	5.1892	5.36244
GP5	5.66219	5.49853	5.19557	5.23916	5.36632	5.14274	5.47525	5.50795	5.37447	5.63599	5.30856	5.13294	5.45871	5.34691	5.22509	5.2296	5.38054	5.51941	5.56626	5.27546
GP6	5.92996	5.53666	5.85436	5.62569	5.88816	5.44111	6.23016	5.80274	5.75514	6.03035	5.87967	5.67052	5.95907	6.39603	5.91811	5.66961	6.23211	6.08506	5.92061	5.64928
GP9	5.6182	5.57969	5.65124	5.41144	5.63541	5.56828	5.69322	5.8443	5.62637	6.09104	5.54399	5.42812	5.59763	5.88702	5.79152	5.60654	5.69036	5.61656	5.6912	5.67404
GPA33	5.24302	4.95864	5.32527	5.40911	5.30887	5.10342	5.32735	5.22952	5.02281	5.27329	5.12428	5.14165	5.16426	5.47221	5.20583	4.96432	5.22952	5.15827	5.1608	5.22952
GPAA1	8.10417	7.60607	7.67519	7.7869	8.22232	7.78431	7.94474	7.66315	7.70041	7.57387	7.89915	7.86104	8.06999	7.61267	7.63884	7.80248	8.1657	7.85503	7.55915	7.62678
GPALPP1	7.5515	7.66325	7.66612	7.66554	7.49598	7.5278	7.45749	7.78075	7.59222	7.43877	7.57163	7.46868	7.4286	7.34368	7.649	7.64255	7.39214	7.54541	7.79223	7.62063
GPAM	12.0728	11.7811	10.6566	11.2451	11.4908	11.7334	12.0993	11.8369	12.3243	10.2555	11.9753	11.4997	12.1073	11.7952	11.5584	11.5661	9.88185	11.6035	11.5252	12.558
GPANK1	5.82423	5.86651	5.95107	6.00358	5.96303	5.77032	5.76078	5.94277	6.08898	6.02183	6.16128	5.89619	6.06246	6.14054	5.70037	6.0357	5.95015	5.92355	5.95895	5.96147
GPAT2	6.84012	6.82321	6.63951	6.81159	6.76173	6.66579	6.86866	6.75989	6.79904	6.94007	6.63115	7.13749	6.93152	7.11114	6.94783	6.80016	7.25257	6.80223	6.76897	6.79933
GPAT2P2	6.94366	6.80243	6.42719	6.9991	7.10885	6.35057	6.59625	6.6777	6.39343	6.57641	6.19295	6.24822	6.61127	6.0026	6.37486	6.05492	6.79039	6.7986	6.74668	6.48356
GPAT3	9.1207	8.84833	8.06917	7.96596	6.91547	8.03909	7.53701	9.08142	7.96409	9.87964	8.63427	6.38979	6.02157	9.57776	8.98546	6.28158	8.9948	8.40601	9.11743	8.62429
GPAT4	7.88356	8.34314	8.37576	8.33763	8.29704	8.03945	8.25903	8.06106	8.35023	8.62584	8.53975	8.34193	8.13566	8.29612	8.203	8.52174	8.30835	8.24111	8.37375	8.37087
GPATCH1	6.0911	6.3603	6.32558	6.14732	6.01037	6.10204	6.31642	6.5523	6.23345	6.09893	6.80288	6.21261	6.14772	6.03797	6.3012	6.52307	6.42661	6.04103	6.24811	6.29968
GPATCH11	7.15286	7.44763	7.45146	7.39428	7.69167	7.30042	8.20526	7.86031	8.16668	7.88415	7.95426	8.04611	7.58886	7.97232	7.44383	7.7624	7.33801	7.83266	7.53662	7.80261
GPATCH2	7.03482	7.21909	7.06174	7.16365	6.84278	7.06174	7.10151	6.9883	7.06174	6.78039	7.00194	7.11966	7.06174	7.00663	7.1396	7.33602	6.94663	6.92022	7.17258	7.1524
GPATCH2L	7.98894	8.18343	8.14404	7.92524	7.9072	8.02297	8.14476	8.25614	8.28998	8.09372	8.31156	8.08899	8.05522	8.08919	8.1959	8.37872	8.03093	7.8883	8.18481	8.26576
GPATCH3	5.86724	6.08461	6.09029	5.9853	6.62213	6.24425	6.38981	5.96949	6.37847	6.27385	6.41022	6.26857	6.46263	6.40737	6.12865	6.20923	6.66414	5.90688	6.21205	6.07473
GPATCH4	6.79715	6.71428	6.44045	6.481	6.75021	6.72976	6.43464	6.29317	6.50228	6.71675	6.11483	6.92186	6.69173	6.86362	6.4717	6.54709	6.71784	6.40748	6.2057	6.89148
GPATCH8	7.45217	7.93377	7.8971	7.65833	7.85815	7.7982	7.73276	7.87607	7.89869	7.73941	7.94371	7.60112	7.65242	8.00758	7.81215	7.96135	7.43195	7.63406	7.91928	7.83488
GPBAR1	6.29567	5.92752	5.89441	6.23882	5.76524	6.035	5.89387	6.00163	5.81718	6.13333	5.92372	5.98414	5.92166	5.71081	5.9487	5.96818	5.85937	6.11527	5.94572	5.9518
GPBP1	8.52096	8.75318	8.77342	8.50322	8.35772	8.72514	8.37078	8.39695	8.67313	8.65014	8.8247	8.30657	8.15462	8.53702	8.79323	8.63667	8.3245	8.35841	8.74016	8.90527
GPBP1L1	8.37397	8.64104	8.60351	8.57652	8.33902	8.36556	8.67934	8.58848	8.6959	8.46227	8.68301	8.33015	8.38239	8.53009	8.48679	8.73825	8.31867	8.22785	8.55975	8.58503
GPC1	7.49961	7.455	7.13996	7.35733	7.27908	7.23735	7.55045	7.34153	7.27115	7.53844	7.22075	7.84049	7.82269	7.38714	7.22254	7.09291	7.08681	7.32042	7.10256	7.20256
GPC2	5.72245	5.50257	5.56979	5.76383	5.63397	5.65693	5.84649	5.9103	5.52311	5.91735	5.52634	5.38403	5.8705	6.04737	5.80874	5.64396	5.75283	6.05113	5.77226	5.45133
GPC3	9.68275	9.46602	9.36883	9.33795	8.70283	9.5765	9.54035	9.63594	9.76955	9.74612	9.98299	9.18043	9.56137	9.24822	9.33377	9.5726	9.62127	9.48412	9.28209	9.56372
GPC4	7.80809	7.45385	7.42799	7.03455	7.07119	7.18361	6.89719	7.27202	7.06057	7.13788	7.3328	6.99171	7.04513	6.99943	7.29863	6.95521	6.66904	6.97854	7.66151	6.91626
GPC5	4.65031	4.45803	4.44808	4.78008	4.60504	4.41556	4.62094	4.72895	4.63123	4.5727	4.65517	4.65152	5.12333	4.68298	4.5156	4.49273	4.31617	4.73144	4.51513	4.6131
GPC6	8.39902	7.52139	7.09502	6.86193	7.33849	8.79494	8.48789	8.41153	8.09045	7.37211	8.76788	8.23358	8.42663	8.02129	8.32279	8.01568	7.35348	7.73164	8.36319	8.20141
GPCPD1	7.82193	8.76454	8.75998	8.36212	8.63969	7.97386	8.2979	8.04299	8.47205	8.30147	7.9234	7.90243	7.67242	7.86446	8.24906	8.14869	7.88085	8.01219	8.20593	8.30275
GPD1	10.9551	9.95178	9.49119	10.1791	10.4517	10.3808	10.931	10.9436	11.0216	10.8954	11.0169	11.0246	10.7488	10.8506	10.1327	10.5607	10.5348	11.1447	10.2924	10.6845
GPD1L	7.84014	8.29208	8.06674	7.55237	8.2758	7.57327	8.0379	7.99783	8.33251	8.80028	8.48753	6.89344	6.67661	8.38367	8.3837	7.13579	8.03478	7.57756	8.87345	7.79051
GPD2	7.38495	7.3541	7.86139	7.09941	8.27839	7.2864	7.12649	6.9602	7.61255	7.20677	7.14687	7.11824	6.70478	6.60734	7.21698	7.1013	6.89738	7.12017	7.28724	7.4835
GPER1	7.24621	6.50053	6.32368	6.61002	6.77404	7.08295	7.1372	6.83459	6.93996	6.42461	6.87133	6.75064	7.18544	6.78176	6.69515	6.87964	6.74804	7.09869	6.7912	6.8308
GPHA2	5.79403	5.64553	5.37362	5.51434	5.46014	5.70914	5.90699	5.85023	5.36042	5.94959	5.51944	5.94094	5.60688	5.61719	5.96494	5.44745	5.96887	5.7859	5.9457	5.73728
GPHB5	5.62749	5.72681	5.59921	5.61124	5.73362	6.09892	6.12978	5.54567	5.75596	5.61266	5.81208	6.05306	5.63544	5.75433	6.12158	5.32979	5.97969	5.76735	5.73591	5.89708
GPHN	7.97352	7.79477	7.98058	7.19556	7.30827	7.80829	7.73752	7.56028	7.69189	7.7477	7.91524	7.14045	7.25397	8.22832	7.46393	7.44858	7.01169	7.54239	7.41484	7.80949
GPI///GPI	10.3359	9.99088	10.043	9.89556	10.7109	10.0278	10.3881	10.5642	10.2841	9.79278	10.4268	10.2428	10.1485	9.86815	9.95488	10.0917	10.029	10.1744	10.156	9.98704
GPIHBP1	7.7771	7.05225	6.77883	7.09789	7.47435	7.34529	7.83129	7.67634	7.7699	7.2992	7.78863	7.35465	7.67747	7.88638	7.07365	7.21583	8.16225	7.92292	7.46427	7.16532
GPKOW	7.33114	6.99707	7.06752	7.12786	7.05593	7.2	7.08558	7.16348	6.97621	6.9506	7.19659	7.03394	7.25505	6.99256	6.85165	6.89364	7.25223	7.1087	7.07737	7.07637
GPLD1	5.65365	5.76192	6.00074	5.7068	7.111	5.91032	6.45531	5.9436	6.13289	5.36368	5.75796	7.31042	6.4196	5.31335	5.67231	5.95738	5.94717	5.91731	5.78504	5.38463
GPM6A	5.18898	5.42639	5.55474	5.19457	5.99789	5.68969	4.98575	5.21706	5.495	5.47821	5.38849	5.37984	5.78449	4.49689	5.49524	5.31821	5.38879	4.99842	5.83425	5.0722
GPM6B	5.70839	5.85468	6.09352	5.43459	5.6166	6.16382	5.70373	5.63641	5.82188	7.15931	6.45923	5.33672	5.58785	5.84892	5.72515	6.69371	6.77597	6.15408	6.11108	5.90777
GPN1	7.30506	7.63095	7.55971	7.22382	7.22151	7.34899	7.68254	7.57305	7.65014	7.44504	7.58436	7.62159	7.11226	7.15211	7.55084	7.63948	7.06056	7.50804	7.48307	7.62151
GPN2	6.49176	6.43095	6.40359	6.61521	6.55155	6.36082	6.2226	6.43095	6.45133	6.47249	6.38922	6.25887	6.68239	6.29655	6.43095	6.26227	6.43095	6.36969	6.37959	6.2231
GPN3	7.07535	7.49501	7.51783	7.34494	7.52462	7.75038	7.662	7.29586	7.62768	7.55754	7.78582	7.69199	7.35389	7.50852	7.36846	7.49948	7.50531	7.53773	7.37983	7.54501
GPNMB	9.01139	9.79833	10.26	9.75382	8.54603	10.0497	9.79204	9.25289	10.242	9.56673	10.3389	9.87285	10.115	9.20477	9.74118	10.8584	9.61219	9.8076	9.69318	10.1687
GPR1	3.81185	4.25824	4.1627	4.22167	3.95798	4.30484	4.17111	3.77959	4.83702	4.17912	4.49982	4.14677	4.02345	3.84934	4.38481	4.78668	4.45437	4.13317	4.41133	4.41539
GPR101	5.60503	5.31687	4.97844	5.59994	5.20006	5.34214	5.35816	5.14486	5.40039	5.34214	5.23959	5.43636	5.43582	5.59091	5.04178	5.3302	5.34214	5.2826	5.34214	5.24565
GPR107	7.52348	7.7447	7.81674	7.57115	7.35889	7.76149	7.6691	7.73096	7.92542	7.72331	7.87506	7.54941	7.74615	7.68725	7.72224	7.9913	7.55139	7.67494	7.74495	7.817
GPR108	7.66819	7.6733	7.5714	7.79041	7.71829	7.60555	7.72918	7.78621	7.82243	7.70706	7.72689	7.80793	7.75975	7.40694	7.32864	7.83293	7.68613	7.52987	7.77448	7.35906
GPR119	5.05668	5.20408	4.86527	5.28845	5.19529	5.51943	5.66309	5.5665	5.28845	5.68829	5.1682	5.13185	5.28845	5.26465	5.28845	5.25493	5.08789	5.30118	5.51093	5.44724
GPR12	5.20011	5.12284	5.01153	5.37184	5.39014	4.98948	5.21022	5.40462	5.29674	5.46408	5.5809	5.6047	5.52698	5.22118	5.158	4.95747	5.53565	5.26107	5.27697	5.19477
GPR132	5.26909	5.74442	5.7346	6.11022	6.24774	5.4052	5.31702	5.10183	5.36719	5.53915	5.34574	5.16933	5.62207	5.07348	5.24994	5.51414	5.76821	5.27159	5.50637	5.21752
GPR135	6.80499	6.72814	6.7637	6.8389	6.9259	6.86058	7.2357	6.89663	6.94748	6.88651	6.95985	6.57422	6.98284	7.04564	6.90708	6.83138	6.86381	6.82944	7.03795	6.97887
GPR137	6.85041	6.5934	6.47119	6.73555	6.98749	6.63847	6.73276	6.58013	6.78027	6.5535	6.69323	6.61112	6.87713	6.70081	6.58316	6.58522	6.56681	6.69167	6.67078	6.42544
GPR137B	7.0521	8.35699	8.4377	8.2167	7.33836	7.22218	7.00516	7.1329	7.38362	7.52169	7.25822	8.1272	7.47155	7.10198	7.57904	8.16986	7.55251	7.45835	7.22588	7.30612
GPR137C	5.02849	5.11709	5.2162	5.23376	5.08295	5.26824	5.43222	5.48402	5.31894	5.23376	5.23376	5.36338	5.31485	5.10783	5.32737	5.38293	5.22952	5.15681	5.19491	5.18668
GPR139	7.16273	7.15203	7.10565	7.26955	7.21128	7.12885	7.34725	7.43238	7.03909	7.62228	7.05616	7.26963	7.31281	7.22089	7.36156	6.95812	6.70432	7.1876	7.52289	7.19203
GPR141	4.87999	4.6626	5.16102	4.98746	4.8366	5.60387	4.87999	4.5815	4.81443	4.81215	4.83819	5.23447	5.08604	4.83414	4.95607	4.83719	5.02434	4.84904	4.8042	4.79287
GPR142	6.37784	6.11489	6.11744	6.03489	6.42232	6.20323	6.48304	6.27368	6.25381	6.51194	6.16153	6.3606	6.46593	6.20009	6.35498	6.16237	6.1892	6.36773	6.41999	6.29942
GPR143	4.73053	4.6373	4.63523	4.55626	4.69582	4.47679	4.73418	4.4903	4.62672	4.87388	4.55078	4.56224	4.62672	4.8175	4.366	4.44915	4.69878	4.78186	4.59243	4.55502
GPR146	8.33954	7.2811	6.73747	7.19637	8.43222	7.6054	8.74701	8.88187	8.39126	7.33375	8.6205	7.87147	8.09242	8.45862	7.64781	8.00619	8.02839	8.43319	8.19987	7.62036
GPR148	6.23283	5.79918	5.93339	6.12323	6.0119	6.022	6.34581	6.36548	6.06999	6.46745	6.11908	5.84076	6.19108	6.11694	6.17791	5.89465	6.04637	6.28929	6.425	5.84769
GPR149	5.54704	5.59927	5.52207	5.42516	5.38562	5.44988	5.70281	5.65543	5.52099	5.77244	5.75214	5.19118	5.72211	5.34926	5.48627	5.29004	5.36032	5.53671	5.91763	5.68005
GPR15	4.21623	4.11456	4.16778	4.02782	4.18019	4.51085	4.92828	4.53429	4.52804	4.40254	4.12144	4.91018	4.67029	4.61238	4.26756	4.20601	4.37926	4.20875	4.10977	4.24709
GPR150	7.19436	6.91097	6.81104	6.93596	7.15621	6.85535	7.13184	7.28503	7.10657	7.22214	6.9223	6.50521	7.0624	7.03124	7.03124	6.62829	7.07272	6.94747	7.23154	6.89922
GPR151	4.38924	4.06699	4.33259	4.38924	4.18464	4.7715	4.38924	4.36836	4.38924	4.75297	4.32869	4.54172	4.5563	4.14255	4.74289	4.28916	4.38924	4.25003	4.44225	4.42732
GPR152	5.69133	5.2464	5.11134	5.5577	5.4787	5.43223	5.91925	5.7746	5.68588	5.84381	5.43553	5.01232	5.56541	5.125	5.5379	5.12874	5.48088	5.6195	5.81974	5.51375
GPR153	7.4673	7.38469	7.20886	7.49681	7.43773	7.44274	7.36116	7.56931	7.1279	7.50914	7.24413	7.17802	7.38694	7.57269	7.42073	7.1197	7.4667	7.66355	7.24708	7.37896
GPR155	6.79296	6.9861	7.26923	6.87537	7.06702	6.96171	7.08495	6.7296	7.24956	6.45511	6.92209	7.19836	6.87957	6.5539	6.93053	7.35975	6.80878	6.81881	6.94577	6.77788
