Gene	X237L.Vneut	X237L.Bldneut	X244L.Vneut	X244L.Bldneut	X253L.Vneut	X253L.Bldneut	X270L.Vneut	X270L.Bldneut	X131_V.Neut	X131_Bld.Neut	X132_V.Neut	X132_Bld.Neut	X135_V.Neut	X135_Bld.Neut	X136_V.Neut	X136.Bld.Neut	X138L_V.Neut	X138L_Bld.Neut	X139L_V.Neut	X139L_Bld.Neut	X141_V.Neut	X141_Bld.Neut	X143_V.Neut	X143_Bld.Neut	X146_V.Neut	X146_Bld.Neut	X149_V.Neut	X149_Bld.Neut	X154_V.Neut	X154_Bld.Neut	GSM1571528	GSM1571529	GSM1571530	GSM1571531	GSM1571532	GSM1571533	GSM1571534	GSM1571535	GSM1571536	GSM1571537	GSM1571538	GSM1571539	GSM1571540	GSM1571541	GSM1571542	GSM214983	GSM214985	GSM214987	GSM214989	GSM214991	GSM214993	GSM214995	GSM214997	GSM214999	GSM215001	GSM215003	GSM215005	GSM78545	GSM78554	GSM78546	GSM78563	GSM43011	GSM78529	GSM78537	GSM78557	GSM78565	GSM43004	GSM78528	GSM78552	GSM43001	GSM43012	GSM78530	GSM78549	GSM484551	GSM484555	GSM484559	GSM484563	GSM484571	GSM484579	GSM484583
SLC2A14	18	51	4	40	13	21	72	81	3	3	0	5	1	2	3	4	0	6	0	7	0	0	0	3	1	2	1	0	0	2	5146.17859336968	5445.11238282751	6486.76050807956	5853.71353288902	3436.36919726419	6338.22346508415	5559.00190059986	7224.89432082289	5590.59759584822	4532.53052277484	4462.08904868523	6223.68091227858	7730.03419065659	7110.28557714488	1942.61357096219	3331.3	2116.34	4571.51	4151.27	4299.3	3832.83	2880.58	2709.83	3666.4	2639.06	2538.17	5528.9	2122.09	2614.76	1995.94	1612.82	1354.29	799.92	1301.36	1631.75	672.01	439.02	1101.33	973.14	623.99	665.42	1267.04	884.24	176.8486	150.1529	170.8645	114.3436	89.10568	150.0365	53.17958
SLC2A3	7551	5123	19670	3961	5149	9411	18	6412	2099	958	5445	2712	4867	2335	5101	2514	3717	2128	3059	1315	1501	2072	3098	4080	1381	2219	4137	1015	2920	6868	5448.81049220079	5243.22928296417	7289.94255109824	5913.57820761473	4593.5546903033	7914.76922370563	5359.66550492107	6498.59452696961	5432.58610285124	4265.72240806881	5002.22459765648	8295.78931671192	10522.4614952725	7081.63352127164	7190.41916705261	3710.27	2671.8	5041.98	4590.31	4751.26	4424.67	3152.98	2818.89	3961.48	3401.36	3073.93	5546.53	4786.89	5432.46	4420.63	3443.23	4095.03	1413.03	2764.42	2622.06	2226.52	3461.01	2176.89	2792.51	1083.64	3126.39	2989.12	1908.01	16283.43	13059.48	13099.18	12416.69	13168.49	15327.54	9218.835
SLC30A1	5	213	33	158	3	272	10	72	76	106	38	289	158	320	29	174	22	134	1	215	0	201	0	331	5	210	49	167	4	305	166.183895109428	127.283464986773	205.651239351366	121.481446507804	54.708660850848	161.731644086558	86.2468005622065	106.16423659499	132.874016674501	108.841459100362	118.526221504067	102.765377189874	199.702279599515	174.901743433898	141.592032024554	157.276	187.145	166.803	90.7181	106.132	134.718	107.522	159.351	100.725	124.589	273.805	162.598	186.39	157.87	107.66	84.2	48.09	178.08	49.59	72.18	47.08	32.72	154.6	46.46	52.94	9.13	8.11	10.97	279.0099	97.25021	189.8127	183.2568	154.277	243.7638	95.01214
SLC30A5	146	45	16	77	5	58	0	21	0	8	0	24	8	32	3	6	44	33	0	32	0	34	0	21	0	28	13	26	1	25	208.88993672437	261.771274964073	149.752261295643	127.483089540205	212.215253933298	124.271428818536	179.09092005135	134.692344169391	210.066186540992	282.652122041814	212.252226451796	192.160572083276	212.541183496665	222.918022770427	152.060182557122	187.138	198.515	158.256	95.2273	103.34	104.425	179.296	234.85	108.731	163.627	194.509	120.619	13.38	9.71	9.64	9.86	11.58	30.46	10.02	9.59	9.82	10.91	12.74	10.4	62.83	13.45	10.62	18.08	230.215	88.45827	154.8925	337.6057	170.1123	105.6086	242.5025
SLC30A6	0	6	0	8	0	12	0	3	0	9	0	17	0	14	0	3	0	12	0	17	0	6	0	15	0	6	6	4	1	12	27.9769250272442	23.9865261124831	26.5616800277446	29.9440315020789	25.5440664159893	33.4902759183654	26.3052449471689	35.2458927975717	27.7649173453756	23.9865261124831	29.9440315020789	47.7922044712402	34.9582595075481	28.4033189202795	39.3938862689788	177.976	173.637	144.263	114.05	135.284	108.664	144.178	171.448	122.164	137.138	115.842	93.5113	13.36	24.87	12.86	10.77	12.28	11.97	19.76	15.57	16.4	19.54	14.9	12.19	8.33	12.23	14.15	14.59	10	10	10	10	10	10	15.19951
SLC30A9	204	172	111	142	23	283	1	80	0	95	17	180	77	202	50	61	70	151	0	152	0	149	0	211	0	99	23	85	18	137	59.8167919970741	80.2411428028907	315.855633134472	184.167449119877	68.0674691942025	174.033368106418	121.474638847147	79.1866263353661	124.582282802761	78.3145866680953	136.250509637931	236.681727991931	221.597975671339	163.772965231791	151.495191116387	256.378	338.513	152.784	166.487	147.313	156.596	218.936	247.746	204.433	292.239	235.69	197.449	40.95	30.66	29.42	37.27	63.09	49.52	39.26	35.76	37.65	32.12	39.81	33.23	277.19	56.57	27.99	36.78	91.36228	86.75105	56.68339	65.14269	110.5113	93.37157	77.16973
SLC31A1	76	154	56	91	52	360	5	125	63	91	17	206	61	152	1	223	8	126	99	122	62	159	1	362	0	171	32	24	4	76	148.635757247354	80.4584303036959	191.865679719242	76.4648580038898	142.302375182456	116.312730250981	102.853249198747	201.149655932048	48.1441839182299	57.7767638552304	163.295129729956	104.941100117958	61.6765752062799	64.1072283668861	246.928245851516	61.0253	61.2258	123.059	207.7	205.37	162.932	206.038	187.495	98.8572	30.3431	71.2192	114.478	22.12	10.73	14.76	11.85	12.46	10.67	11.01	10.17	11.25	11.34	12.15	7.56	28.1	8.42	9.29	10.32	64.454	49.7772	64.71976	66.52765	53.93467	37.11836	99.10819
SLC31A2	4	19	25	25	0	58	0	44	2	21	2	45	84	17	0	11	51	92	0	7	0	119	0	135	0	68	97	9	49	40	767.640813098251	308.128730283904	1190.73022164219	874.871738266964	869.178776997215	1389.77300695759	936.633584574886	692.930178670155	696.992688026465	705.427904926817	616.695087993523	936.411880379067	977.168821444894	535.576736727448	1169.35032056109	633.809	606.995	1335.95	2420.95	2183.19	1895.74	2033.97	3098.37	715.826	364.262	1152.27	1429.88	519.84	430.53	368.25	278.24	617.93	612.03	420.57	412.4	262.83	803.4	749.62	506.74	717.9	227.02	519.12	302.2	469.0939	583.5856	363.278	1291.999	385.5514	338.2424	1069.968
SLC33A1	87	51	22	91	0	81	0	20	145	80	42	182	60	245	21	53	0	96	0	107	0	130	0	201	0	84	20	103	0	141	8.23930773757257	6.18512068260892	11.181676069191	8.85344562361981	6.9623834451655	8.23930773757257	9.65288584698711	8.23930773757257	6.9623834451655	8.39708819265249	8.38198069661406	8.23930773757257	12.0657989732072	8.17041460322443	8.3951523352685	81.8839	80.4409	60.0002	60.5943	45.8839	30.7899	67.5848	83.5135	55.131	77.9231	90.8416	72.0653	8.42	9.05	8.37	9.83	8.85	8.13	10.64	9.2	10.49	10.36	9	7.94	15.2	8.77	9.17	9.34	10	10	10	10	10	10	10
SLC35A1	0	81	58	52	2	154	6	46	0	106	5	266	78	248	0	167	56	147	0	158	1	179	0	292	0	127	54	91	6	133	95.879542107263	84.6771840480947	84.6771840480947	84.6771840480947	47.8547388304693	85.062783749242	98.6775620897973	123.859216339291	71.426631652598	64.6628873716807	70.8311848748826	84.6771840480947	116.554413419831	93.1207893261133	151.764278257809	447.626	353.622	312.451	291.774	181.816	351.583	293.134	369.557	277.32	602.395	593.553	366.52	17.33	12.61	11.63	11.25	61.61	50.81	13.84	14.17	14.3	27.79	32.29	31.98	113.83	29.11	9.98	14.38	210.5605	290.3898	184.77	226.7095	403.5011	300.3862	346.7332
