Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Pearson Correlation,RMSE
GSM2785604,0,0.1016178357050025,0,0.2108096576103863,0,0.07939031014308895,0,0,0.1036474490923294,0.020462294465470557,0.12846190300994925,0.04460240523502384,0.22081603999854849,0,0,0.004460051699643337,0,0,0.0060282702627558775,0,0,0.07970378277780153,0,0,0.6049742662333588,0.7973245846442557
GSM2785605,0,0.050638493399718626,0,0.06442329611108981,0,0.040250845178665215,0,0,0.031177719436959565,0.008767960382780084,0.20525050443439127,0.009884083675155593,0.21004430537098354,0,0,0,0,0.0001,0,0.004279366975429909,0,0.37518573169500824,0,0,0.6350902519202952,0.7728060956870547
GSM2785606,0,0.053470925560645664,0,0.14454341515727642,0,0.2276562070936133,0,0,0,0.020842457697374518,0.16693914075636393,0.09312863367362409,0.193082945816699,0,0,0.005579147105702736,0,0,0.0023197656368615085,0,0,0.09243736150183893,0,0,0.628233243780374,0.7817018883594076
GSM2785607,0,0.043239644801840706,0,0.07337891161249101,0,0.03910974332110131,0.011930199586869177,0,0.06637616506020332,0.01359219880019387,0.16754161629474387,0,0.17603549869624896,0.00635688346531339,0.008031039399673876,0,0,0,0,0.015754841437092538,0,0.3786532575242279,0,0,0.5972111750095664,0.8027874068153177
GSM2785608,0.0025216312063926338,0.05329299552242134,0,0.09046415235847913,0,0.01985865756120709,0,0,0.10205881004872744,0.0011024092450164324,0.11650219110829842,0.049128802966740805,0.18050595748458745,0,0,0.0030616192065449016,0,0.0019880355073157983,0,0.013603542559020292,0,0.3659111952252483,0,0,0.6560545273335883,0.7545876398709056
GSM2785609,0,0.04652946326887969,0,0.08187589262571376,0,0.0037386611176636357,0,0,0.09395877752727846,0.00841045498011219,0.15796872935483489,0.029053785199309998,0.1871298380048096,0,0,0.0007,0,0.0002,0,0.0019859270289827916,0,0.38846613165070176,0,0,0.5888305943526481,0.8117136837431116
GSM2785610,0.001959434364504672,0.049246003686965724,0,0.09071481095784702,0,0.1615354107401637,0,0,0.22400532669530465,0.02659907168329679,0.12212205461065911,0.032127451922635504,0.17988393074806935,0,0.004540697084238025,0.0037586926070001143,0,0,0,0,0,0.1035071148993153,0,0,0.5569881549921569,0.8305258108478534
GSM2785611,0,0.04914352778974875,0,0.049660407707711164,0,0,0,0,0.11238316305241654,0.016276344577663925,0.16616358455577693,0,0.15949540400916704,0.001,0.002536708802168933,0,0,0,0,0,0,0.4433579950075199,0,0,0.5957257127262989,0.8074106823659207
GSM2785612,0.01246985220221249,0.042627922511115156,0,0.13327315762414998,0,0.14313779979989874,0,0,0.15318189371946775,0,0.19210904763883668,0.04833589221029601,0.15068825594499108,0,0.001928242888141375,0.010467666437655052,0,0,0,0,0,0.11178026902323569,0,0,0.5683179628196493,0.822759354543703
GSM2785613,0,0.07498316667895655,0,0.12290905206766942,0,0.042995307540354404,0,0,0.03728270529257946,0,0.12732341079859677,0,0.15308042258799298,0,0.0025067607154305185,0,0,0,0,0.007568547561369426,0,0.4313506267570505,0,0,0.5588827731938414,0.8321301231036238
GSM2785614,0,0.08615446778833148,0,0.15669448775812597,0,0.16492449623593075,0,0,0.034627912379643175,0.02470363245245508,0.15166541188736027,0.052105933239807424,0.20712741923395886,0.0010327544245492186,0.00442307383362276,0.005048109904770848,0,0,0.016108332231853192,0,0,0.09538396862959098,0,0,0.5605429029570466,0.8282881604791722
GSM2785615,0,0.11945927105129846,0,0.07402173926529851,0,0.11680169189054694,0.0121226742942334,0,0.04366887003230339,0,0.0746748154309527,0,0.15705521146614612,0.004209064951208613,0.006256626058370423,0,0,0,0,0.018136510343612886,0,0.3735935252160285,0,0,0.5269335961156153,0.8508158361193514
GSM2785616,0,0.08672984472823764,0,0.04954456841867575,0,0.07710716376979543,0,0,0.06162978412489454,0,0.06328281178485626,0.029924168503128883,0.17757709560705054,0,0,0,0,0.0027405642272814675,0,0.006708827517664075,0,0.44475517131841547,0,0,0.5642887090508389,0.8291846773518408
GSM2785617,0,0.08016279063441344,0,0.11577937495644958,0,0.06177027010197786,0,0,0.028064816871783534,0,0.14130859194777606,0,0.1554680495231026,0,0.0030366543272957024,0,0,0,0,0.007548100286627781,0,0.40686135135057344,0,0,0.5807842511841939,0.8145855103477843
GSM2785618,0,0.0923868614958091,0,0.21333053703396468,0,0.10360585815693833,0,0,0,0.02672430671354775,0.17863846046743684,0.06528660623908261,0.19669347402896148,0,0,0.0006,0,0,0.010654643446780562,0,0,0.11200886266307776,0,0,0.5473544901815327,0.8367412250419916
