Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Pearson Correlation,RMSE
GSM694090,0,0.033872901864188336,0,0,0.09729952683141363,0.2356488616442217,0,0,0.14073569644864245,0,0.021598425344841913,0.03315471131516076,0.17061618816583574,0,0,0.007845060047025433,0.02321892655234475,0.004034013803248415,0,0.02693415749374705,0,0.178013506667993,0.02702802382133692,0,0.416674730667319,0.9174082439359821
GSM694091,0,0.1276530250225621,0,0,0.12356514000956327,0.12190750649320833,0,0,0.127485683264426,0,0.021036503178992843,0.06014411960080905,0.16585014598569425,0,0,0.0002,0.01160980997880995,0.0057104660546494195,0,0.019511409904086317,0,0.20004339703407112,0.015308685020464318,0,0.4452850847843015,0.8991980230495318
GSM694092,0,0.053578938364171984,0,0,0.17708807476262967,0.05437669434680823,0,0,0.1924106567871025,0,0.056079773037734724,0.005584350340046532,0.15368903961713098,0,0,0.0017551941160035035,0,0.0060831883977234226,0,0.010870106124229525,0,0.28235145406358586,0.006132530042833085,0,0.4533159868025316,0.9018229039790525
GSM694093,0,0.11145970314588975,0,0,0.11608442128348916,0.20467042709054797,0,0,0.1520115382561149,0,0.019924661754040323,0.05255124893837788,0.13257239851813435,0,0,0.010614320339392733,0.01301318469149319,0,0,0.01949292924626419,0,0.14382402863424468,0.023781138102010844,0,0.3891922409871778,0.9280474673451738
GSM694094,0,0.11513218333560316,0,0,0.23712678203626467,0.13791234569418265,0,0,0.14577684952724676,0,0.019342900174735514,0.0469641245448544,0.09614066966715919,0,0,0.004088749230435616,0.02848147724541966,0,0,0.00808207725886522,0,0.14884596541368247,0.01210587587155067,0,0.3783731472631264,0.9320220553375151
GSM694095,0,0.10071772104548485,0,0,0.15812712648939892,0.13256093923446646,0,0,0.13326921530516353,0,0.04407384926160076,0.036266188480328865,0.14914252272692102,0,0,0.0060763492186825556,0.013433180740389112,0.0013764643733348858,0,0.02922303152794686,0,0.16941797096490688,0.026315440631375243,0,0.3814220796189303,0.9346070301195745
GSM694096,0,0.08953397178385077,0,0,0.15205550621884478,0.16292006741223566,0.010859815702193815,0,0.09891087000987112,0,0.044099063178954075,0.04204597127092201,0.16030103729064213,0,0,0.007925369296881174,0.023424055330384684,0.0044655358061373536,0,0.027638010075269972,0,0.1612523820224176,0.014568344601394891,0,0.37502549325597023,0.9365354254043539
GSM694097,0,0.058825487787839775,0.002170105574653199,0,0.15020383961801462,0.1502115480229402,0.004094654442316726,0,0.18107970120642972,0,0.015520847723200002,0,0.17721538981602486,0,0,0.004674246736192723,0.01193834152341414,0.0002,0,0.013217552053446205,0,0.21510586401212367,0.01551284130919663,0,0.4166183810549169,0.9198694220693886
GSM694098,0,0.044350951500050896,0,0,0.1701820715485484,0.14621747921370779,0.0028551417011763317,0,0.14729682589353646,0,0.0037694815520516126,0,0.1869916602898838,0,0,0.006108983776502456,0.002933749089090685,0,0,0.02564434385368555,0,0.24916973361803496,0.014479577963730998,0,0.40976875582350897,0.9266027977593957
GSM694099,0,0.0719758465630694,0.01215197135139939,0,0.06101835017395555,0.16632536662601144,0,0,0.1805867120272323,0,0.07478401385182791,0,0.09366736754464458,0.00518794975617458,0,0.008545335319673936,0,0.008901577313233417,0,0.010138309162409572,0,0.23826907703733483,0.06844812327303305,0,0.3983081025471121,0.9315051020535351
GSM694100,0,0.04511622420810572,0.014919808549322431,0,0.08536816966389053,0.1306807984126684,0.002787726429038133,0,0.22987243336256155,0,0.05712520555297122,0,0.08227225754274292,0.004278422357632357,0,0.009182391851938863,0,0.012221938579230483,0,0.009688592193881483,0,0.2658077990580321,0.0506782322379838,0,0.38600950790546446,0.9408911482282536
GSM694101,0,0.07794066240836454,0,0,0.16185384359153315,0.21676545501784325,0.0028156518528147986,0,0.11908419194013198,0,0.01411894338459993,0.030192019436507168,0.11686670134618049,0,0,0.008368720033957463,0.03173306698880566,0.001419751882518657,0,0.022049963672153745,0,0.1870639443809334,0.009727084063655763,0,0.3836950659385841,0.9301646690907134
GSM694102,0,0.05546184434490824,0.01338121805227684,0,0.1699305857782882,0.1769128491158652,0,0,0.2129991777439266,0,0,0.01891770808129858,0.12463286959379305,0,0,0.008259069336362754,0.003264317128651392,0.0026538161481519454,0,0.02808191521327755,0,0.173902936179586,0.011601693283613584,0,0.37709186115497345,0.9368861185819927
GSM694103,0,0.06474172515149614,0,0,0.1637827899765206,0.1356999130572007,0.0018282187669244447,0,0.15519469049977178,0,0.026764919327296324,0.011420319477903035,0.16859461046299445,0,0,0,0.016429744556819424,0,0,0.003405792153325454,0,0.22329650097946732,0.028840775590280424,0,0.41663015052071434,0.9202014208434065
GSM694104,0,0.0626390313037279,0,0,0.15203560209375822,0.1173986933073189,0.0012445697607089885,0,0.19190625636178477,0,0,0.05508301507187479,0.151777251453666,0,0,0.004255927843990419,0.014103755780438907,0,0.005379994530763298,0,0,0.19823872884122062,0.045937173650747086,0,0.40314437289447996,0.9274973305446572
GSM694105,0,0.032476411368196456,0.0030870647962454823,0,0.08868603137645889,0.2746588052907401,0.007487191579098574,0,0.19851250188414252,0,0.005217969324092993,0.014729702548452177,0.1025185959784504,0,0.0007,0.00139770801872971,0.056762918931664436,0,0,0.02934088645696175,0,0.14441380126406714,0.03998050019701765,0,0.4118081970979495,0.915843111835717
GSM694106,0.009650862551116211,0.011291712809892756,0,0,0.10228771449232897,0.24407485086759617,0.007265718457583795,0,0.1679840115394563,0,0.023952885941158478,0.029839680716956696,0.11554599793674246,0,0,0.005532182736754606,0.033927456961487586,0.004002671299966903,0,0.026582738899328176,0,0.17975465244999939,0.03830686233963152,0,0.39572538788561196,0.9273157963711334
GSM694107,0,0.030921111322900364,0.00783029281069468,0,0.15547331395160277,0.12990309092089952,0.0025587427730083333,0,0.19147524781866374,0,0.027938415951099506,0.04230367832891959,0.1295718782257057,0,0,0.009118911640788185,0.03094581971279628,0,0,0.03251959825126827,0,0.18568171297430358,0.023758185317349544,0,0.4192468445123144,0.9150046177814217
GSM694108,0,0.04908297729791441,0.0061263895883851725,0,0.15516622543794983,0.17645424544612678,0,0,0.1835770045774752,0,0.046905273946848625,0.020650077315366503,0.11656219685063787,0,0,0.009001767597761248,0.010912225898708695,0.0048404666751640756,0,0.01343893960997348,0,0.1682517557224173,0.03903045403527081,0,0.40697169496355984,0.9214242812104663
GSM694109,0,0.08285545386981229,0,0,0.1945979873298436,0.11875309110803162,0.001795536286084453,0,0.1659577056687163,0,0.02526707769342824,0.00856468529190553,0.13525250510262166,0,0,0,0.0084884546499006,0,0,0.0007,0,0.23696132412225565,0.020792065114426432,0,0.39583341459002713,0.9302540964600688
GSM694110,0,0.08026251987180055,0,0,0.1775547056607587,0.18260355555857352,0,0,0.17144646360472982,0,0.03956502204189227,0.02354879512239242,0.11216088948674471,0,0,0.0038312966362665547,0.021241541288040428,0.0016291152492930487,0.002114620136478599,0,0,0.1803371266243723,0.003704348718657007,0,0.37794226227162,0.9357608858490506
GSM694111,0,0.11100072731389897,0,0,0.10917672040212413,0.1417227384678889,0,0,0.14849114508520367,0,0.049501754632976874,0.030536505264300684,0.12800758739243803,0,0,0.006128317544151304,0.042918220402062744,0.004538682442001794,0,0.02934311575481624,0,0.16316804941398189,0.03546643588415473,0,0.3941116339586525,0.9259922771973187
GSM694112,0,0.07966881760379121,0,0,0.06448968165652617,0.21037188362187975,0,0.0048130282247959896,0.09195959874718837,0,0.046951639444302355,0.050081883587766676,0.1320683013400839,0,0,0.007325207411301644,0.03284817490256004,0.005566429017143592,0,0.03489357118247759,0,0.1938602145524215,0.04510156870776118,0,0.3777967698517731,0.9367268686636372
GSM694113,0,0.043531152256480334,0,0,0.10619355582923383,0.17539340714047558,0.001067367072685491,0,0.1434544690060422,0,0.0063488343855050275,0.04430505473440603,0.16880443459658945,0,0,0.0028492244636026008,0.01599994737195777,0,0.0012251949573067007,0.0029069862227383094,0,0.2435288373222083,0.044391534640768456,0,0.42137738017996657,0.920037026366963
GSM694114,0.021873858453018775,0.0038497932235849797,0,0,0.09575674366789257,0.2211919660377798,0.0019521911223318784,0,0.1842897030196875,0,0.041459391262539565,0,0.131409185148457,0,0,0.005237520844827508,0.014076428829719219,0,0,0.021538348408808375,0,0.21656283625541353,0.04080203372593927,0,0.39323547376023504,0.933982615571445
GSM694115,0,0.06753719974694325,0.009540095439307167,0,0.10159057273025186,0.10468096922138526,0,0,0.27643907989548944,0,0.03216107047137036,0.017817708683582123,0.04454027718520318,0,0,0.008107154512403804,0,0.0065481677839960215,0,0.008688706849024638,0,0.25908464517039387,0.06326435231064899,0,0.4003701979359295,0.9310503142545065
GSM694116,0,0.054346616651214104,0.008401317257164951,0,0.07691080526038786,0.09187399840584617,0,0.004571305845819799,0.24206265577918387,0,0.08526143988408759,0,0.05820717228489918,0.003340863002036029,0,0.003670407500664564,0,0,0,0.011912675998852831,0,0.27565719887876633,0.08378354325107668,0,0.39642545805844837,0.9406128277968698
GSM694117,0,0.05036502846882143,0,0,0.18482638563329537,0.12657434795109557,0.0009,0,0.18224475791186054,0,0.007023897217268326,0.06381670963228442,0.1132153322807944,0,0,0.007481845099732907,0.010341360669582916,0,0,0.006403967145304482,0,0.19067856824753912,0.05614704443642505,0,0.3941533086063118,0.9304498370655072
GSM694118,0.008439010230074586,0.06983432397725996,0.003734550343836245,0,0.1474201630100208,0.08374397021510105,0.004707132376616559,0.006014075788205507,0.21378909930697035,0,0,0.04385486379208831,0.11193010846415402,0,0,0.0074970196174634456,0.03410845131173476,0,0,0.02088806791721988,0,0.20578234509665197,0.03825681855260252,0,0.39618079467076533,0.9275659958718753
