"Taxa","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Taxa.Level"
"Butyrivibrio",0.205656366460174,1.73160640366444,3.06041223216888,0.565808221998013,0.571524156620507,1,"Genus"
"Pseudoflavonifractor",0.452133680933976,1.69149046660241,2.99747040068524,0.564305978206066,0.572545913597467,1,"Genus"
"Deferribacteraceae",0.127054507707174,-1.72202673879602,3.05309191925424,-0.564027151601991,0.572735653990713,1,"Family"
"Ruminococcaceae",172.940564790222,-0.585847572442807,1.03910296888251,-0.563801268966489,0.572889388105066,1,"Family"
"Cyanobacteria",0.341893466300705,1.67888156734831,3.01928494193897,0.556052707721632,0.578174823474067,1,"Phylum"
"hoa5-07d05_gut_group",0.279125145354005,-1.68933671948357,3.05376781914048,-0.553197498806265,0.580128179486419,1,"Genus"
"Christensenella",0.205393514306845,1.69101691457691,3.06085972541012,0.552464688446425,0.580630021056973,1,"Genus"
"Ruminococcaceae_UCG-009",0.205393514306845,1.69101691457691,3.06085972541012,0.552464688446425,0.580630021056973,1,"Genus"
"Porphyromonadaceae",0.239687490046233,-1.6779066734458,3.03919453259592,-0.552089264260625,0.580887196950856,1,"Family"
"Deinococcus",0.184856201257127,1.64578305386136,3.06137256661674,0.53759645977366,0.590855674862253,1,"Genus"
"Deferribacteres",0.0744868383295194,-1.61397554633977,3.03875089937581,-0.53113124431203,0.595327834260907,1,"Phylum"
"SAR",0.312119517722383,1.59197814498125,3.01974382343326,0.527189800878958,0.598061790581409,1,"Phylum"
"Erysipelotrichales",2.71931652103486,-1.50694848271535,2.98016036396508,-0.505660199006999,0.613095213454107,1,"Order"
"Flavobacteriales",0.0378686480051435,-1.53656547050967,3.0398150981591,-0.505479912722391,0.613221803535819,1,"Order"
"Erysipelotrichia",2.67374292581049,-1.4439195187554,2.98091172364129,-0.484388553778306,0.628110140209513,1,"Class"
"Staphylococcaceae",0.223439817607546,1.46959296571011,3.03836900511229,0.483678237645725,0.628614240176334,1,"Family"
"Flavobacteriia",0.0364163555896875,-1.46520227727289,3.03770394624066,-0.482338734518933,0.629565335235395,1,"Class"
"Blastomonas",0.140088823782545,1.39107443311391,3.06455886158502,0.453923222213598,0.649884088679534,1,"Genus"
"Proteobacteria",11.959790183447,-0.64937054858764,1.45402959482369,-0.446600640660538,0.655163432954509,1,"Phylum"
"Mollicutes",0.692357736124773,-1.33107845938455,2.99641394591883,-0.444223823346406,0.656880769825733,1,"Class"
"Mucispirillum",0.18866070010687,-1.35070496739057,3.06148558988712,-0.441192658836057,0.659073527401423,1,"Genus"
"Ruminococcaceae_UCG-003",0.18866070010687,-1.35070496739057,3.06148558988712,-0.441192658836057,0.659073527401423,1,"Genus"
"Verrucomicrobiales",3.74675773573359,1.2098763143935,2.74876734155394,0.440152317041693,0.659826792390315,1,"Order"
"Erysipelatoclostridium",3.49365668829468,-1.14024955362631,2.72475588315198,-0.418477692139994,0.675597893333882,1,"Genus"
"Bacteroidaceae",44.4156225156884,-0.471054937047687,1.13400263698984,-0.415391394766137,0.677855405113378,1,"Family"
"Actinobacteria",0.220337283527685,1.25096808824083,3.02183066634722,0.413976898895199,0.678891025133037,1,"Phylum"
"Melainabacteria",0.259228795101715,1.20207948597736,3.01927232213771,0.398135496809464,0.690530309911338,1,"Class"
"Alphaproteobacteria",0.253074852701725,1.17273622103688,3.01946057070581,0.388392626290445,0.697725500158449,1,"Class"
"Mitsuaria",0.10083065523116,1.18363835978757,3.06756866448526,0.385855538782596,0.699603660327867,1,"Genus"
"Aquabacter",0.37437470588257,1.17492195212301,3.06770407244075,0.382997161518323,0.701721868695099,1,"Genus"
"[Eubacterium]_ruminantium_group",0.102696757153423,1.1463058351063,3.06815393156866,0.373614186469526,0.708691377814335,1,"Genus"
"Deinococcaceae",0.153614874605188,1.09935343580872,3.04313446029987,0.361256937592035,0.717907381853289,1,"Family"
"Flavobacteriaceae",0.0443061382108559,-1.10602456183876,3.06244603374966,-0.361157241515386,0.717981904248782,1,"Family"
"Corynebacteriales",0.226460607238203,1.08603289025482,3.01928418429757,0.359698797451052,0.719072391427908,1,"Order"
"Actinobacteria",0.227099543178022,1.06716200925407,3.02016982559449,0.353345033848888,0.723829787959572,1,"Class"
"Turicibacter",0.0840255460259666,1.0684048201491,3.06903749638424,0.348123742837235,0.727747254041621,1,"Genus"
"Halomonadaceae",0.447296518332144,1.03518663867916,3.02380250052613,0.342345982748226,0.732090534578629,1,"Family"
"Papillibacter",0.12728625658952,-1.03596484235045,3.06705687310953,-0.337771644025673,0.735535280072584,1,"Genus"
"Verrucomicrobiae",3.42541080131412,0.900755518709511,2.68582692081496,0.335373628035642,0.737343258969578,1,"Class"
"Tenericutes",0.904468543902372,-0.995827335696281,2.98958858204636,-0.33309845430793,0.739059966111372,1,"Phylum"
"Ruminococcus_1",11.9487311362032,-0.588745326003266,1.8784158117142,-0.313426517351337,0.75395664047313,1,"Genus"
"Christensenellaceae",2.80516602415992,0.417007131450282,1.43210088597602,0.291185583036685,0.77090938814719,1,"Family"
"Deinococcus-Thermus",0.144812783142524,0.871970781064442,3.02479107055074,0.288274714096427,0.773136461188828,1,"Phylum"
"Propionibacteriales",0.176433708990391,0.862582072630508,3.02085651808172,0.285542218727508,0.775228764190651,1,"Order"
"Rhizaria",0.17902505590855,0.857252112414848,3.02173862114333,0.283694991491518,0.776644133318667,1,"Class"
"Xanthomonadaceae",0.124439753390818,0.853501582529456,3.04700872780464,0.280111302189936,0.7793921137784,1,"Family"
"Clostridiales_vadinBB60_group",0.022153069105428,-0.842591772849609,3.06572086115097,-0.274842952444559,0.783436897067403,1,"Family"
"Sphingomonadaceae",0.114936065741328,0.797847398851224,3.04791968041065,0.261767855622668,0.79350042263212,1,"Family"
"Rhodospirillales",0.162203464349034,0.782623998555167,3.02147932513349,0.25902014024888,0.795619700983096,1,"Order"
"Xanthobacteraceae",0.12086450439801,0.779500395459952,3.04816621287261,0.255727654275567,0.798161139989407,1,"Family"
"Gastranaerophilales",0.15921468943109,0.767453603758825,3.02160129973295,0.253989036815232,0.799504027797545,1,"Order"
"Retaria",0.15287893398352,0.735794042942437,3.02185994151262,0.243490451967846,0.80762548080863,1,"Order"
"Pseudomonadaceae",0.100720420331675,0.708942162866108,3.04914261031079,0.23250541331481,0.81614548319364,1,"Family"
"Anaerotruncus",0.0849258197333876,0.690698079936206,3.07227084006463,0.224816793795978,0.822121800922401,1,"Genus"
"Butyricimonas",0.0336102184103866,0.665854177571749,3.07251254944577,0.216713249126308,0.828431822061922,1,"Genus"
"Alcaligenaceae",1.86566740916848,0.511246409361548,2.38794486290402,0.214094729448574,0.830473185803361,1,"Family"
"Desulfovibrionales",0.0212286252574786,-0.650174366092719,3.0400684845042,-0.213868328758638,0.830649738781659,1,"Order"
"Lactobacillaceae",0.197442557577025,-0.58787792439215,3.03831134704568,-0.193488374706489,0.846576509672539,1,"Family"
"Deltaproteobacteria",0.022233480846946,-0.580525158871853,3.03888430491368,-0.191032333127385,0.848500261436687,1,"Class"
"Comamonadaceae",0.0837899316028299,0.577473181917842,3.05108731006332,0.189267996367452,0.84988277715816,1,"Family"
"Deinococcales",0.127315026396833,0.567570522143324,3.02333048171686,0.187730228493254,0.851088132637785,1,"Order"
"Coprococcus_1",0.0457385629888706,0.536607854322714,3.07186237602188,0.17468486170192,0.861327263483841,1,"Genus"
"Bacteroidia",60.9516790306852,0.12984916712034,0.807662300484191,0.16077160843399,0.872273287496751,1,"Class"
"Deinococci",0.118650384508783,0.485743585765547,3.02511641227157,0.1605702127016,0.872431917245938,1,"Class"
"Clostridia",227.25204957736,0.102157751543978,0.639639406914196,0.159711472494818,0.873108363171736,1,"Class"
"Prevotellaceae",1.06907172320391,0.452332016534984,2.99827619513832,0.150864025558565,0.880082979068155,1,"Family"
"Gammaproteobacteria",0.260359404619983,0.448159369187164,3.01310755853107,0.148736598505514,0.881761481001898,1,"Class"
"[Eubacterium]_coprostanoligenes_group",0.515490684757619,-0.433416102921906,2.95337796958335,-0.146752670124051,0.883327243866445,1,"Genus"
"Oceanospirillales",0.246680670302672,0.433161104335446,3.01333594735251,0.143748029394472,0.885699443049839,1,"Order"
"Xanthomonadales",0.110019264204237,0.410054539381695,3.0248661804953,0.135561216567455,0.892168167043905,1,"Order"
"Bacteroidales",61.3843088151962,0.112479346819465,0.836993949609037,0.134384898328124,0.89309822270143,1,"Order"
"Obscuribacterales",0.10371415865218,0.380282811543215,3.02517505673239,0.125706051521518,0.899964611449272,1,"Order"
"Bacteroides",58.5230295655916,-0.197804491575002,1.60330007999542,-0.123373343545001,0.901811464561718,1,"Genus"
"Clostridiales",229.253327619595,0.0773178205028785,0.65896478329533,0.117332249708748,0.906596769951597,1,"Order"
"Bergeyella",0.0333859854389924,-0.288112603639487,3.07658504586045,-0.0936468842384652,0.925389664994769,1,"Genus"
"Betaproteobacteria",1.30564374898986,-0.274008752970375,2.98760919306819,-0.0917150588524519,0.926924432586819,1,"Class"
"Pseudomonadales",0.0464299234185239,-0.216813577795033,3.0328526663027,-0.0714883318283135,0.94300911065076,1,"Order"
"Firmicutes",238.845350344497,0.0400443367168932,0.586327806322165,0.0682968405815132,0.945549339109255,1,"Phylum"
"Burkholderiales",1.3128036137275,-0.188927101715776,2.98652856184242,-0.063259767252728,0.949559652645336,1,"Order"
"Rhizobiales",0.0778145888602731,0.119829351811829,3.02815512361389,0.0395717349079597,0.968434562057696,1,"Order"
"Prevotella_7",0.660386792739785,0.107395242462183,3.02467627193393,0.0355063592949457,0.971675975590165,1,"Genus"
"Intestinimonas",0.228470557224669,0.080053721900504,3.06075330139622,0.0261549082913628,0.979133781536661,1,"Genus"
"Lactobacillus",0.260867563494248,-0.0616661250721002,3.06213227251833,-0.0201382956659104,0.983933050809051,1,"Genus"
"Sphingomonadales",0.0600576328282815,-0.0468297086815499,3.03035056781472,-0.0154535614390385,0.987670332666898,1,"Order"
"Ruminococcaceae_UCG-004",0.0125197445396221,-0.00559099418104292,3.07701568563316,-0.00181701842052601,0.998550229853317,1,"Genus"
"Desulfovibrionaceae",0,0,0,0,1,1,"Family"
"Mycobacteriaceae",0,0,0,0,1,1,"Family"
"Peptostreptococcaceae",0,0,0,0,1,1,"Family"
"Alistipes",0,0,0,0,1,1,"Genus"
"Anaerofilum",0,0,0,0,1,1,"Genus"
"Bilophila",0,0,0,0,1,1,"Genus"
"Globothalamea",0,0,0,0,1,1,"Genus"
"Lactonifactor",0,0,0,0,1,1,"Genus"
"Mycobacterium",0,0,0,0,1,1,"Genus"
"Odoribacter",0,0,0,0,1,1,"Genus"
"Paraprevotella",0,0,0,0,1,1,"Genus"
