"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","enriched.in"
"16","OR1Q1",50.7781199208428,-9.0285403509711,1.87133805684195,-4.8246442260719,1.40253396214391e-06,0.00101691962455211,"Lean"
"17","OR2AE1",68.9821915776859,-8.20661220635434,1.69917945004652,-4.82975015153912,1.367044748731e-06,0.00101691962455211,"Lean"
"18","LOC341056",37.5739691867063,-8.90159658268677,1.85645604463788,-4.79494066579052,1.62722987047474e-06,0.00111429085463731,"Lean"
"19","PPP1R12C",45.3922603227152,-7.63848733074804,1.60887577118588,-4.74771729896696,2.05725312417386e-06,0.00126788510042835,"Lean"
"20","RALBP1",42.6650446283713,-4.50383263424406,0.948311418577484,-4.7493181522585,2.0410363199021e-06,0.00126788510042835,"Lean"
"21","LGALS4",38.78459944251,-6.89159674401388,1.46730234823952,-4.69678028681852,2.64294478349429e-06,0.0014359668378088,"Lean"
"22","LOC100506888",31.1259677231373,-8.59043417928911,1.82481024279052,-4.70757669912708,2.50678973118982e-06,0.0014359668378088,"Lean"
"23","OR10C1",32.5912500559407,-7.57414862770714,1.61358971484569,-4.69397428480231,2.67947730566303e-06,0.0014359668378088,"Lean"
"24","ATOH7",38.8442879432013,-9.33235087432049,2.04677991934347,-4.55952825515014,5.1268658847909e-06,0.00186217749098962,"Lean"
"25","HIST1H2AC",58.6236644150144,-3.76997763575691,0.822282475629015,-4.58477195792482,4.54482187310858e-06,0.00186217749098962,"Lean"
"26","MGC16142",38.6819349498711,-7.78666375520058,1.70418129925739,-4.56915221320272,4.89701047060835e-06,0.00186217749098962,"Lean"
"27","MIR3907",29.4925023938064,-7.41114675018024,1.60798617750741,-4.60896172731317,4.04684812126833e-06,0.00186217749098962,"Lean"
"28","MRPL51",133.827611872865,-4.6826564950631,1.0235187126034,-4.57505704331714,4.76090250504084e-06,0.00186217749098962,"Lean"
"29","OR2M5",77.7741116443917,-9.67837291146241,2.0940450358563,-4.62185518732396,3.80323475126765e-06,0.00186217749098962,"Lean"
"30","OR5B12",93.1359726082587,-8.66113245089627,1.90179032346524,-4.55419945302638,5.25854459854268e-06,0.00186217749098962,"Lean"
"31","PBOV1",41.1504658019735,-8.34110052001599,1.82930844680169,-4.55970152797323,5.12263763842739e-06,0.00186217749098962,"Lean"
"32","RAF1",187.904453572004,-2.34372375243807,0.514760554934195,-4.55303680511745,5.28770178359863e-06,0.00186217749098962,"Lean"
"33","SH3BGRL2",34.4385601680411,-8.15507457378582,1.76214935160916,-4.62791338676188,3.69368424527991e-06,0.00186217749098962,"Lean"
"34","SIGLEC11",434.134201046887,-4.55069621525115,0.988138520435391,-4.60532214981967,4.11827823556655e-06,0.00186217749098962,"Lean"
"35","TM9SF2",49.5090091074908,-9.71200703451406,2.11219662424058,-4.59806010626776,4.26442979908844e-06,0.00186217749098962,"Lean"
"36","TPRA1",77.0233878342864,-10.3217955722297,2.2835605398574,-4.52004463734265,6.18265940211297e-06,0.0021168738830679,"Lean"
"37","FBXW12",38.1683258447969,-9.25934500661033,2.05932551446395,-4.49629985234295,6.91462062598676e-06,0.0021230263348288,"Lean"
"38","GRAMD1A",2007.17916899963,2.52326481356535,0.561373013126522,4.49480960887705,6.96322212243227e-06,0.0021230263348288,"Obese"
"39","HIST1H3F",26.0367050028772,-8.31898562661803,1.85431817283677,-4.48627735438277,7.24783803207636e-06,0.0021230263348288,"Lean"
"40","LINC00638",18.8987466441052,-7.92495274374597,1.76709607134841,-4.48473225210597,7.30055485071987e-06,0.0021230263348288,"Lean"
"41","MAU2",407.238586222228,1.79637680096645,0.400828028329982,4.4816646391993,7.40630637657297e-06,0.0021230263348288,"Obese"
"42","OR7E37P",162.804837297538,-7.01940719968565,1.56282540655479,-4.49148521021279,7.07282131683991e-06,0.0021230263348288,"Lean"
"43","TAAR1",78.6580179040336,-6.47765720659604,1.43937451738612,-4.5003278357042,6.78487389423089e-06,0.0021230263348288,"Lean"
"44","HSD3B2",32.0446456728603,-8.65489424078196,1.93510313179968,-4.47257518142341,7.72832155228426e-06,0.00216498389666945,"Lean"
"45","LOC646999",50.7215862171258,-6.97070133843603,1.56154604609588,-4.4639742490232,8.04532378370409e-06,0.00217906240682611,"Lean"
"46","XRN2",57.7987670326829,-3.53772316209693,0.792913682188995,-4.46167501149727,8.13214917361683e-06,0.00217906240682611,"Lean"
"47","KCNJ11",38.7461415180863,-6.9055626857839,1.55245345816997,-4.44816084465693,8.66086667865126e-06,0.00227135835491607,"Lean"
"48","TMA7",144.802540711213,-3.49203449746057,0.789819723038946,-4.42130576839036,9.81062284575742e-06,0.00246787218768992,"Lean"
"49","TUBA1C",1854.57890763004,-4.33549616812648,0.979639161218725,-4.42560520215717,9.61722728625442e-06,0.00246787218768992,"Lean"
"50","FAM21B",20.2988047688619,-6.43224228140628,1.4640419059979,-4.39348235528957,1.1154924695535e-05,0.00264414618840701,"Lean"
"51","OR2L8",100.911204753329,-7.33322584119038,1.66795381410849,-4.39654010750288,1.09990044618387e-05,0.00264414618840701,"Lean"
"52","ZMPSTE24",72.5862786917477,-5.44590461499855,1.23946565705118,-4.39375192367566,1.11410945549968e-05,0.00264414618840701,"Lean"
"53","OR51A4",66.0864074142673,-7.13554348571772,1.62808091616999,-4.38279413194269,1.17166820428325e-05,0.00272490231811234,"Lean"
"54","IFT46",47.7701550542644,-6.73881560285988,1.54072014718603,-4.37380897184192,1.22097230865249e-05,0.00275504488517034,"Lean"
"55","LOC100335030",166.194063177486,-6.44363570604589,1.47377165327963,-4.37220765625845,1.22996453731459e-05,0.00275504488517034,"Lean"
"56","UQCRHL",61.3048897192097,-4.67066088650233,1.06919610941148,-4.36838559866554,1.25168354348157e-05,0.00275504488517034,"Lean"
"57","KCNA5",30.7138603120233,-8.58843381497958,1.9720932117291,-4.35498371167222,1.33076813031357e-05,0.00287772771477983,"Lean"
"58","KAAG1",28.2655982733452,-7.7856646421734,1.79239586538344,-4.34371937167344,1.40090449411492e-05,0.00287792479907675,"Lean"
"59","TTC30B",43.7247677935696,-4.99042460982418,1.14883444308741,-4.34390232626797,1.39973768762961e-05,0.00287792479907675,"Lean"
"60","ZNF284",35.3501823083219,-8.4779813449951,1.95036111585408,-4.34687775308857,1.38089130659027e-05,0.00287792479907675,"Lean"
"61","LOC100170939",57.8212945266111,-5.41528125975773,1.24923522531635,-4.33487717126005,1.45841532028118e-05,0.00289942374802997,"Lean"
"62","SIGLEC10",499.135546836724,-4.12427705894845,0.95103618192972,-4.33661425013295,1.44694232761088e-05,0.00289942374802997,"Lean"
"63","CLCNKA",35.4613574318039,-8.8144230668916,2.03550171147086,-4.33034421794826,1.48876437236443e-05,0.00291277931012125,"Lean"
"64","LOC388942",35.5061152570665,-8.81714025801379,2.04210348348595,-4.31767553863754,1.57680993976945e-05,0.00303683739337472,"Lean"
"65","LOC255512",45.659197667909,-6.74831783988556,1.57026829403351,-4.29755721715002,1.72690692309184e-05,0.00327474688215847,"Lean"
"66","OR2A42",57.1469331259072,-8.0236748713203,1.87114564086674,-4.28810814940286,1.80201355110184e-05,0.0033653968228608,"Lean"
"67","OR4D1",52.7253936032435,-5.42177282087324,1.26635692283708,-4.28139391280507,1.85726260172907e-05,0.00336656159248714,"Lean"
"68","PCP4L1",29.9994834599086,-8.21578362912214,1.91812345353593,-4.28324027526846,1.8419107792436e-05,0.00336656159248714,"Lean"
"69","CANX",73.8303304976154,-4.25507427299145,0.996239024794036,-4.27113791679779,1.94478084764606e-05,0.00347411140986745,"Lean"
"70","TAS2R43",46.5338409221261,-8.18076191965113,1.91785255395712,-4.26558439165289,1.99379630259919e-05,0.00351079046083395,"Lean"
"71","OR6C4",53.5898046846031,-6.95803207001892,1.63585788111495,-4.25344533308514,2.10506346424828e-05,0.00365450876905976,"Lean"
"72","GTF2H2B",30.7026655070619,-6.68046381494274,1.57681467073197,-4.23668293994348,2.26846106196477e-05,0.00383028096572297,"Lean"
"73","ISCA1",33.6484678466461,-4.48735087994403,1.05890534260202,-4.23772616815531,2.25794920746734e-05,0.00383028096572297,"Lean"
"74","IFNA16",76.3084018759402,-5.82406132038236,1.37720450712493,-4.2289008569546,2.34835797441635e-05,0.00388611295642205,"Lean"
"75","RHOG",82.4462291524221,-5.37247046898374,1.27088335234905,-4.22735136081015,2.36458276595533e-05,0.00388611295642205,"Lean"
"76","IL2RB",20.6425468403539,5.93145659695478,1.40486652904695,4.22207837849098,2.4205990185567e-05,0.00392582940825393,"Obese"
"77","ASNA1",324.914690690871,-4.07157209345883,0.966198770329112,-4.21401084175666,2.50875234825316e-05,0.00398994294464185,"Lean"
"78","SLC25A5",396.166488566173,-3.28189828334553,0.779606142692653,-4.20968756353086,2.55724073200313e-05,0.00398994294464185,"Lean"
"79","ZNF100",31.7999573392414,-5.2265707039059,1.24131579660877,-4.2105084928305,2.54796544464195e-05,0.00398994294464185,"Lean"
"80","STK32B",44.738393090994,-8.09330181690994,1.92473806592703,-4.20488478935542,2.61215182481333e-05,0.00402467292408114,"Lean"
"81","ANKRD20A9P",1168.92673795392,-4.56594841072676,1.08721240443494,-4.19968388155012,2.67287887635398e-05,0.00406739568270854,"Lean"
"82","OR1I1",17.1601513920007,-7.67838826190013,1.83053750350149,-4.19460854924456,2.73343228548104e-05,0.00410881540863894,"Lean"
"83","ZNF92",79.1274720813483,-6.59688158685273,1.57990896110901,-4.17548210007118,2.9735563644354e-05,0.00441591033108803,"Lean"
"84","FAM86HP",45.8745477447908,-9.22098338807492,2.21611782308608,-4.16087235616116,3.1703425370666e-05,0.00461525857808033,"Lean"
"85","OR2Z1",36.6520012980826,-7.81890952619234,1.87955213409341,-4.15998544779059,3.1826787208894e-05,0.00461525857808033,"Lean"
"86","FAHD1",24.6912259329357,-7.90514019515166,1.9035571857057,-4.15282517095541,3.28395629209644e-05,0.00465264888004376,"Lean"
"87","OR5D13",37.3213624407906,-8.90654044003806,2.14434106189373,-4.15350925200884,3.27414968240465e-05,0.00465264888004376,"Lean"
"88","ZNF337",50.80341221267,-6.6693039779366,1.60725557756845,-4.14949810784063,3.33205041997231e-05,0.0046671424405203,"Lean"
"89","DSCR9",34.5140696080511,-7.41949428777523,1.78950724952362,-4.14611021539607,3.38171093795456e-05,0.0046834796653065,"Lean"
"90","ACOX1",48.0991164255714,-3.22825277451549,0.781512979265503,-4.13077307756235,3.61545335605793e-05,0.00495156422964112,"Lean"
"91","LOC728819",49.4965178624957,-6.62337891824132,1.60687537170893,-4.12189957905528,3.75761007211276e-05,0.00499858240537655,"Lean"
"92","OMP",39.0477282894435,-7.07215434998365,1.71572506360268,-4.12196248688793,3.75658384221141e-05,0.00499858240537655,"Lean"
"93","OR10V1",44.1633285599918,-9.16645058532399,2.22562898663543,-4.11858878562741,3.8119969666185e-05,0.00499858240537655,"Lean"
"94","RPL8",38.04706470043,-3.99035353148531,0.96879690119219,-4.11887520137072,3.80726260604956e-05,0.00499858240537655,"Lean"
"95","H3F3C",33.3246322580508,-6.42271395053137,1.56479821159056,-4.10449980256745,4.05190617674177e-05,0.00525724163521253,"Lean"
"96","MIR17HG",38.1545315519701,-8.60823090300615,2.10256498575528,-4.09415688044187,4.23707362923821e-05,0.00544022599520731,"Lean"
"97","CD3EAP",26.1701184684003,-8.68764007793458,2.12397925628556,-4.09026597233705,4.30878787705566e-05,0.00547527003841114,"Lean"
"98","AQPEP",24.9748281551396,-8.07783839046039,1.98175287844164,-4.07610781260095,4.5795792073608e-05,0.00570180740504336,"Lean"
"99","OR6F1",30.6468228184299,-7.90192414281665,1.93836116744762,-4.07660051982041,4.56989048593497e-05,0.00570180740504336,"Lean"
"100","NOTCH1",2005.15714153034,2.0324158657668,0.499556688530107,4.06843890279394,4.73291674460733e-05,0.00571940507784607,"Obese"
"101","RAB25",30.2199814676661,-7.46722047164452,1.83446573560691,-4.07051509696042,4.69093008787609e-05,0.00571940507784607,"Lean"
"102","SRG7",37.8181762757953,-9.25321324477675,2.27422737801797,-4.06872827854226,4.72704343271469e-05,0.00571940507784607,"Lean"
"103","APBB1IP",261.415417148901,-2.76777489024099,0.681462253571166,-4.06152340168016,4.87535300335112e-05,0.00582116378119385,"Lean"
"104","ZNF587B",32.477213756085,-9.01916161384499,2.22158043520277,-4.05979521197116,4.91157742369106e-05,0.00582116378119385,"Lean"
"105","ADAM30",55.9144261449093,-5.59904784370026,1.38529010233521,-4.04178722872692,5.30453541850191e-05,0.00616827392155232,"Lean"
"106","LCE4A",56.8157327797373,-6.82696080924226,1.68874116829585,-4.04263302003321,5.28543098187815e-05,0.00616827392155232,"Lean"
"107","LOC399815",35.7721681231389,-7.98498898756,1.97816110723445,-4.03657162116757,5.42379730969762e-05,0.00624801174199373,"Lean"
"108","HIST1H2AM",25.6193676679259,-5.08190715953611,1.26206283613032,-4.02666730534433,5.657298999642e-05,0.00633926067905339,"Lean"
"109","HIST2H2BC",22.5629415630755,-8.50927836337863,2.11222714350378,-4.02858110670018,5.61145017490158e-05,0.00633926067905339,"Lean"
"110","ZNF433",35.1168735659991,-9.1410669290708,2.26985527448986,-4.02715848530265,5.64549809931369e-05,0.00633926067905339,"Lean"
"111","LOC653501",35.1042509031004,-9.14753068602805,2.27515868608209,-4.02061216300498,5.8047103302597e-05,0.00638829102953402,"Lean"
"112","TMEM87B",11.1743272781699,-4.6328175429249,1.15206488511918,-4.02131650982978,5.78737801083919e-05,0.00638829102953402,"Lean"
"113","LINC00346",26.2977689434811,-6.35383091160349,1.58158787712163,-4.01737456610187,5.8850142357474e-05,0.00641935269644447,"Lean"
"114","DTNA",47.9715193382299,-7.48262232683551,1.86359475970846,-4.0151552733525,5.94066711574798e-05,0.00642321604111487,"Lean"
"115","ZNF625",57.3019245381011,-7.84315065925716,1.95666993410726,-4.00841783406644,6.11268989575893e-05,0.00655174049174997,"Lean"
"116","NDUFB3",43.9879696469806,-4.12685404104685,1.03210464342493,-3.99848413369434,6.37494535474365e-05,0.00677392900366985,"Lean"
"117","MT1L",13.9830226934776,-7.35119868222087,1.84009389807445,-3.99501280337566,6.46907569006246e-05,0.00681519888510341,"Lean"
"118","TRIM54",40.9097925276697,-9.05043066269509,2.27647969845655,-3.97562546629837,7.01945241638466e-05,0.00733235343087774,"Lean"
"119","ACOT6",40.7958915840623,-9.04542678765158,2.28478923283337,-3.95897645947601,7.52716547250425e-05,0.0074956450482672,"Lean"
"120","AHRR",27.7983797268512,-8.11982791934886,2.05739751427109,-3.94665000955131,7.92522749077527e-05,0.0074956450482672,"Lean"
"121","BTBD8",32.4843126550382,-6.41112836386452,1.62152972307416,-3.95375321995951,7.69347608556709e-05,0.0074956450482672,"Lean"
"122","CDRT15",64.294524555609,-6.8063197578702,1.72218240244638,-3.95214801184924,7.74528073012861e-05,0.0074956450482672,"Lean"
