"Gene","airspace","bldvat","endotox","exercise","lcanc","sepsis","syno","tb"
"AMMECR1L",0,1,0,0,0,0,0,0
"AMOT",0,1,0,0,0,0,1,0
"AMPD2",1,0,0,0,1,1,0,0
"ANAPC1",0,0,0,0,0,1,0,0
"ANAPC10",0,1,0,0,0,0,0,0
"ANAPC13",1,1,0,0,0,1,0,0
"ANAPC15",1,0,0,0,0,0,0,0
"ANAPC7",0,1,0,0,0,0,0,0
"ANGEL2",0,1,0,0,0,0,0,0
"ANGPT1",1,0,0,0,0,0,1,0
"ANGPT2",0,0,0,0,1,0,0,0
"ANGPT4",0,0,0,0,1,0,0,0
"ANGPTL6",0,1,0,0,0,0,0,0
"ANKFY1",0,0,0,0,0,1,0,0
"ANKRA2",0,1,0,0,0,0,0,0
"ANKRD1",0,0,0,0,1,0,0,0
"ANKRD13C",0,0,0,0,0,0,1,0
"ANKRD13D",0,0,0,0,1,0,1,0
"ANKRD18A",0,1,0,0,0,0,1,0
"ANKRD19P",0,1,0,0,0,0,0,0
"ANKRD24",0,1,0,0,0,0,0,0
"ANKRD26",0,1,0,0,0,0,1,0
"ANKRD28",0,0,0,0,0,0,1,0
"ANKRD34B",0,1,0,0,0,0,1,0
"ANKRD36BP1",0,1,0,0,0,0,0,0
"ANKRD44",0,0,0,0,1,1,0,0
"ANKRD49",0,1,0,0,0,0,0,0
"ANKRD50",0,0,0,0,0,0,1,0
"ANKRD52",0,0,0,0,0,0,1,0
"ANKRD54",0,1,0,0,0,0,0,0
"ANKRD55",1,0,0,0,0,0,1,0
"ANKRD6",1,0,0,0,0,0,1,0
"ANKRD63",0,1,0,0,0,0,0,0
"ANKRD66",0,0,0,0,1,0,0,0
"ANKS3",0,1,0,0,0,0,0,0
"ANKUB1",0,0,0,0,0,0,1,0
"ANKZF1",1,0,0,0,0,0,0,1
"ANO10",1,0,0,0,1,0,0,0
"ANO8",0,1,0,0,0,0,0,0
"ANO9",0,1,0,0,0,0,0,0
"ANP32A",1,0,0,0,0,0,0,0
"ANP32B",0,1,0,0,0,0,0,0
"ANPEP",1,0,0,0,1,0,1,0
"ANXA11",1,0,0,0,1,0,1,0
"ANXA2P2",0,1,0,0,0,0,0,0
"ANXA3",0,0,0,0,0,0,1,0
"ANXA4",0,1,0,0,0,0,0,0
"ANXA6",0,0,0,0,0,0,1,0
"ANXA9",0,0,0,0,0,0,1,0
"AOAH",1,0,0,0,1,0,1,0
"AOC2",1,0,0,0,1,0,1,0
"AOC3",1,0,0,0,1,0,1,0
"AOC4P",0,0,0,0,1,0,0,0
"AP1G1",0,0,0,0,0,1,0,0
"AP1G2",1,0,0,0,0,0,1,0
"AP1M1",0,0,0,0,0,0,1,0
"AP1S2",1,1,0,0,0,0,0,0
"AP2A1",0,0,0,0,0,0,1,0
"AP2A2",0,0,0,0,0,0,1,0
"AP2M1",0,0,0,0,0,0,1,0
"AP3M1",0,0,0,0,0,1,1,0
"AP3S1",1,0,0,0,0,0,0,0
"AP4E1",0,1,0,0,0,0,0,0
"AP5B1",0,0,0,0,1,0,1,0
"AP5M1",0,1,0,0,0,0,0,0
"APAF1",1,1,0,0,0,0,1,0
"APBA2",0,1,0,0,0,0,0,0
"APBB1IP",1,0,0,0,1,0,1,0
"APBB3",0,1,0,0,0,0,0,0
"APC",1,0,0,0,0,0,0,0
"APEH",0,0,0,0,0,0,1,0
"APEX1",0,0,0,0,0,0,1,0
"APH1A",0,0,0,0,0,1,0,0
"APH1B",0,0,0,0,1,0,0,0
"APIP",0,1,0,0,0,0,0,0
"APLP2",1,0,0,0,0,0,0,0
"APMAP",1,0,0,0,1,0,1,0
"APOBEC3A",0,0,0,0,1,0,0,0
"APOBEC3A_B",1,0,0,0,0,0,0,0
"APOBEC3B",0,0,0,0,1,0,0,0
"APOBEC3C",0,1,0,0,0,0,0,0
"APOBEC3D",0,1,0,0,0,0,0,0
"APOBR",0,0,0,0,1,0,0,0
"APOL1",0,1,0,0,0,1,0,0
"APOL2",0,0,0,0,0,1,0,0
"APOL4",0,0,0,0,1,0,0,0
"APPL1",0,1,0,0,0,0,0,0
"APRT",0,0,0,0,0,0,1,0
"AQP10",0,1,0,0,0,0,0,0
"AQP8",0,1,0,0,0,0,0,0
"AQR",0,1,0,0,0,0,0,0
"ARAP3",1,0,0,0,1,0,1,0
"AREL1",1,0,0,0,0,0,0,0
"ARF3",0,0,0,0,0,1,0,0
"ARF5",1,0,0,0,0,0,0,0
"ARFGEF2",0,1,0,0,0,0,0,0
"ARFIP1",0,0,0,0,0,1,0,0
"ARFIP2",0,1,0,0,0,0,0,0
"ARG1",1,0,0,0,0,0,1,0
"ARGLU1",0,1,0,0,0,0,0,0
"ARHGAP1",1,0,0,0,0,0,0,0
"ARHGAP10",0,1,0,0,0,0,0,0
"ARHGAP11A",0,1,0,0,0,0,0,0
"ARHGAP11B",0,1,0,0,0,0,0,0
"ARHGAP15",0,0,0,0,1,0,0,0
"ARHGAP19",1,0,0,0,0,1,1,0
"ARHGAP24",0,0,0,0,0,0,1,0
"ARHGAP25",1,0,0,0,0,1,0,0
"ARHGAP26",1,0,0,0,0,1,0,0
"ARHGAP27",0,0,0,0,0,1,0,0
"ARHGAP30",0,1,0,0,1,0,0,0
"ARHGAP33",0,0,0,0,0,0,1,0
"ARHGAP35",0,0,0,0,0,0,1,0
"ARHGAP36",0,1,0,0,0,0,0,0
"ARHGAP4",1,0,0,0,1,0,1,0
"ARHGAP45",1,0,0,0,0,0,1,0
"ARHGAP6",0,0,0,0,1,0,0,0
"ARHGAP9",0,0,0,0,1,0,1,0
"ARHGDIB",1,0,0,0,1,0,1,0
"ARHGEF1",0,0,0,0,0,0,1,0
"ARHGEF11",1,0,0,0,0,0,1,0
"ARHGEF17",0,0,0,0,0,0,1,0
"ARHGEF18",1,0,0,0,0,0,1,1
"ARHGEF4",0,0,0,0,0,0,1,0
"ARHGEF40",1,0,0,0,1,1,0,0
"ARHGEF6",0,1,0,0,1,0,1,0
"ARID1A",1,0,0,0,0,1,1,0
"ARID1B",0,0,0,0,0,0,1,0
"ARID3A",1,0,0,0,0,0,1,0
"ARID3B",1,0,0,0,0,0,0,0
"ARID4A",0,1,0,0,1,1,0,0
"ARID4B",0,0,0,0,0,1,0,0
"ARID5A",0,0,0,0,1,0,0,0
"ARID5B",0,1,0,0,0,0,0,0
"ARIH1",0,0,0,0,0,1,0,0
"ARIH2",0,0,0,0,0,1,0,0
"ARL10",0,1,0,0,0,0,0,0
"ARL15",0,0,0,0,0,0,1,0
"ARL3",1,0,0,0,0,0,1,0
"ARL4C",0,1,0,0,0,0,1,0
"ARL5A",0,1,0,0,0,1,0,0
"ARL6IP5",0,1,0,0,0,0,0,0
"ARL6IP6",0,1,0,0,0,0,1,0
"ARMC1",0,1,0,0,0,0,0,0
"ARMC10",0,1,0,0,0,0,0,0
"ARMC2",0,0,0,0,0,0,1,0
"ARMC7",1,0,0,0,0,0,0,0
"ARMH1",0,0,0,0,0,0,1,0
"ARNTL",0,0,0,0,1,0,0,0
"ARPC1B",0,0,0,0,1,0,0,0
"ARPC2",1,0,0,0,1,0,0,0
"ARPC3",1,0,0,0,0,0,0,0
"ARPC5",1,0,0,0,0,0,0,0
"ARPP19",1,1,0,0,0,0,0,0
"ARRB1",0,0,0,0,0,1,0,1
"ARRB2",0,0,0,0,1,0,0,0
"ARRDC1",0,0,0,0,0,0,1,0
"ARRDC3",0,1,0,0,0,1,0,0
"ARRDC3-AS1",0,1,0,0,0,0,0,0
"ARRDC4",0,0,0,0,1,0,0,0
"ARSA",1,0,0,0,0,0,0,0
"ARSB",0,1,0,0,1,0,0,0
"ARSG",0,0,0,0,1,0,0,0
